Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
197,197,0,5003c00000008380,11,04,4,000000101763456f,1,0
198,198,0,5047c00000008480,11,04,4,0000001017634585,1,0
199,199,0,0007e00000008180,11,04,2,0000001017634595,1,0
200,200,0,5043c00000008580,11,04,4,000000101763459b,1,0
201,201,0,0007e00000008280,11,04,2,00000010176345ad,1,0
202,202,0,5043c00000008680,11,04,4,00000010176345b1,1,0
203,203,0,0007e00000008380,11,04,2,00000010176345c2,1,0
204,204,0,0007e00000008480,11,04,2,00000010176345d8,1,0
205,205,0,0007e00000008580,11,04,2,00000010176345ee,1,0
206,206,0,0003e00000008080,01,06,0,00000010176345fd,1,0
207,207,0,0007e00000008680,11,04,2,0000001017634603,1,0
208,208,0,4803c00000008080,11,04,4,000000101763474a,1,0
209,209,0,3807e00000008080,01,06,0,0000001017634917,1,0
210,210,0,2800300000008180,01,06,0,0000001017634925,1,0
211,211,0,2800300000008280,01,06,0,0000001017634927,1,0
212,212,0,2804300000008380,01,06,0,0000001017634929,1,0
213,213,0,2844300000008480,01,06,0,000000101763492b,1,0
214,214,0,2844300000008580,01,06,0,000000101763492d,1,0
215,215,0,2847f00000008680,01,06,0,000000101763492f,1,0
216,216,0,5004000000008080,01,0a,3,0000001017634931,1,0
217,217,0,5003c00000008180,11,04,4,000000101763497e,1,0
218,218,0,5003c00000008280,11,04,4,0000001017634994,1,0
219,219,0,5007c00000008380,11,04,4,00000010176349aa,1,0
220,220,0,5047c00000008480,11,04,4,00000010176349c0,1,0
221,221,0,0007e00000008180,11,04,2,00000010176349d0,1,0
222,222,0,5047c00000008580,11,04,4,00000010176349d6,1,0
223,223,0,0007e00000008280,11,04,2,00000010176349e6,1,0
224,224,0,5047c00000008680,11,04,4,00000010176349ec,1,0
225,225,0,0007e00000008380,11,04,2,00000010176349fe,1,0
226,226,0,0007e00000008480,11,04,2,0000001017634a13,1,0
227,227,0,0007e00000008580,11,04,2,0000001017634a29,1,0
228,228,0,0007e00000008680,11,04,2,0000001017634a3f,1,0
229,229,0,5807e40000008080,01,08,5,0000001017634a7f,1,0
230,230,0,1807e00000008080,11,04,2,0000001017634acb,1,0
231,231,0,2804300000008180,01,06,0,0000001017634d63,1,0
232,232,0,2804300000008280,01,06,0,0000001017634d65,1,0
233,233,0,2800300000008380,01,06,0,0000001017634d67,1,0
234,234,0,2840300000008480,01,06,0,0000001017634d69,1,0
235,235,0,2840300000008580,01,06,0,0000001017634d6b,1,0
236,236,0,2843f00000008680,01,06,0,0000001017634d6d,1,0
237,237,0,5007c00000008180,11,04,4,0000001017634dbc,1,0
238,238,0,5007c00000008280,11,04,4,0000001017634dd2,1,0
239,239,0,5003c00000008380,11,04,4,0000001017634de8,1,0
240,240,0,5043c00000008480,11,04,4,0000001017634dfe,1,0
241,241,0,0007e00000008180,11,04,2,0000001017634e0f,1,0
242,242,0,5043c00000008580,11,04,4,0000001017634e14,1,0
243,243,0,0007e00000008280,11,04,2,0000001017634e24,1,0
244,244,0,5043c00000008680,11,04,4,0000001017634e2a,1,0
245,245,0,0007e00000008380,11,04,2,0000001017634e3a,1,0
246,246,0,0007e00000008480,11,04,2,0000001017634e51,1,0
247,247,0,0007e00000008580,11,04,2,0000001017634e67,1,0
248,248,0,0003e00000008080,01,06,0,0000001017634e78,1,0
249,249,0,0007e00000008680,11,04,2,0000001017634e7e,1,0
250,250,0,4803c00000008080,11,04,4,0000001017634fc7,1,0
251,251,0,0007e00000000080,01,06,0,000000101763506e,1,0
252,252,0,4807c00000000080,11,04,4,0000001017635145,1,0
253,253,0,3803e00000008080,01,06,0,0000001017635266,1,0
254,254,0,2804300000008180,01,06,0,0000001017635273,1,0
255,255,0,2800300000008280,01,06,0,0000001017635276,1,0
256,256,0,2804300000008380,01,06,0,0000001017635278,1,0
257,257,0,2844300000008480,01,06,0,000000101763527a,1,0
258,258,0,2840300000008580,01,06,0,000000101763527c,1,0
259,259,0,2843f00000008680,01,06,0,000000101763527e,1,0
260,260,0,5000000000008080,01,0a,3,0000001017635280,1,0
261,261,0,5007c00000008180,11,04,4,00000010176352ce,1,0
262,262,0,5003c00000008280,11,04,4,00000010176352e4,1,0
263,263,0,5007c00000008380,11,04,4,00000010176352fa,1,0
264,264,0,5047c00000008480,11,04,4,0000001017635310,1,0
265,265,0,0007e00000008180,11,04,2,0000001017635320,1,0
266,266,0,5043c00000008580,11,04,4,0000001017635326,1,0
267,267,0,0007e00000008280,11,04,2,0000001017635336,1,0
268,268,0,5043c00000008680,11,04,4,000000101763533c,1,0
269,269,0,0007e00000008380,11,04,2,000000101763534d,1,0
270,270,0,0007e00000008480,11,04,2,0000001017635363,1,0
271,271,0,0007e00000008580,11,04,2,0000001017635379,1,0
