index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
225,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,33097033953,8080,,15,,,1,,,1,0,8080,6,,,0,0,0,
226,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,33097033971,8680,,15,,,1,,,16,0,8680,6,,,0,4,0,
227,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,33097033973,8180,,0,,,1,,,0,0,8180,6,,,0,4,0,
228,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,33097033975,8380,,0,,,1,,,0,0,8380,6,,,0,4,0,
229,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,33097033977,8280,,0,,,1,,,0,0,8280,6,,,0,4,0,
230,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,33097033979,8580,,0,,,1,,,17,0,8580,6,,,0,4,0,
231,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,33097033981,8480,,0,,,1,,,17,0,8480,6,,,0,4,0,
232,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,33097033981,8080,0,0,0,,,0,,1,3,8080,10,0,0,,0,,0
233,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,33097034051,8680,0,15,0,,,0,,16,4,8680,4,0,0,,0,,0
234,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,33097034073,8180,0,15,0,,,0,,0,4,8180,4,0,0,,0,,0
235,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,33097034095,8380,0,15,0,,,0,,0,4,8380,4,0,0,,0,,0
236,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,33097034117,8280,0,15,0,,,0,,0,4,8280,4,0,0,,0,,0
237,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,33097034139,8580,0,15,0,,,0,,17,4,8580,4,0,0,,0,,0
238,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,33097034161,8480,0,15,0,,,0,,17,4,8480,4,0,0,,0,,0
239,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,33097034315,8080,,15,,1,1,,1,,5,8080,8,0,,0,0,,
240,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,33097034393,8080,,15,,1,1,,,,2,8080,4,,,,0,,0
241,0x580fe40000008180,11,ECI_CMD_MFWD_FEVX_EH,33097034518,8180,,15,,3,1,,1,,5,8180,8,0,,0,0,,
242,0x5817e40000008280,11,ECI_CMD_MFWD_FEVX_EH,33097034520,8280,,15,,5,1,,1,,5,8280,8,0,,0,0,,
243,0x581fe40000008380,11,ECI_CMD_MFWD_FEVX_EH,33097034522,8380,,15,,7,1,,1,,5,8380,8,0,,0,0,,
244,0x5827e40000008480,11,ECI_CMD_MFWD_FEVX_EH,33097034524,8480,,15,,9,1,,1,,5,8480,8,0,,0,0,,
245,0x582fe40000008580,11,ECI_CMD_MFWD_FEVX_EH,33097034526,8580,,15,,11,1,,1,,5,8580,8,0,,0,0,,
246,0x5837e40000008680,11,ECI_CMD_MFWD_FEVX_EH,33097034528,8680,,15,,13,1,,1,,5,8680,8,0,,0,0,,
247,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,33097034595,8180,,15,,3,1,,,,2,8180,4,,,,0,,0
248,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,33097034599,8280,,15,,5,1,,,,2,8280,4,,,,0,,0
249,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,33097034603,8380,,15,,7,1,,,,2,8380,4,,,,0,,0
250,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,33097034607,8480,,15,,9,1,,,,2,8480,4,,,,0,,0
251,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,33097034611,8680,,15,,13,1,,,,2,8680,4,,,,0,,0
252,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,33097034615,8580,,15,,11,1,,,,2,8580,4,,,,0,,0
253,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,33097035582,8680,,15,,,1,,,16,0,8680,6,,,0,4,0,
254,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,33097035584,8180,,0,,,1,,,1,0,8180,6,,,0,4,0,
255,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,33097035586,8280,,0,,,1,,,1,0,8280,6,,,0,4,0,
256,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,33097035588,8380,,0,,,1,,,1,0,8380,6,,,0,4,0,
257,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,33097035590,8480,,0,,,1,,,16,0,8480,6,,,0,4,0,
258,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,33097035592,8580,,0,,,1,,,16,0,8580,6,,,0,4,0,
259,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,33097035662,8680,0,15,0,,,0,,16,4,8680,4,0,0,,0,,0
260,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,33097035684,8180,0,15,0,,,0,,1,4,8180,4,0,0,,0,,0
261,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,33097035706,8280,0,15,0,,,0,,1,4,8280,4,0,0,,0,,0
262,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,33097035728,8380,0,15,0,,,0,,1,4,8380,4,0,0,,0,,0
263,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,33097035750,8480,0,15,0,,,0,,16,4,8480,4,0,0,,0,,0
