index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
36,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,53330188838,8200,0,15,0,,,0,,1,4,8200,5,0,0,,0,,0
37,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,53330188873,8300,0,15,0,,,0,,0,4,8300,5,0,0,,0,,0
38,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,53330188909,8400,0,15,0,,,0,,16,4,8400,5,0,0,,0,,0
39,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,53330188944,8500,0,15,0,,,0,,16,4,8500,5,0,0,,0,,0
40,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,53330188979,8600,0,15,0,,,0,,17,4,8600,5,0,0,,0,,0
41,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,53330189209,8000,,15,,0,1,,1,,5,8000,9,0,,0,0,,
42,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,53330189288,8000,,15,,0,1,,,,2,8000,5,,,,0,,0
43,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,53330189537,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
44,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,53330189539,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
45,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,53330189544,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
46,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,53330189546,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
47,0x582be40000008500,11,ECI_CMD_MFWD_FEVX_EH,53330189550,8500,,15,,10,1,,1,,5,8500,9,0,,0,0,,
48,0x5833e40000008600,11,ECI_CMD_MFWD_FEVX_EH,53330189552,8600,,15,,12,1,,1,,5,8600,9,0,,0,0,,
49,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,53330189613,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
50,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,53330189617,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
51,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,53330189620,8300,,15,,6,1,,,,2,8300,5,,,,0,,0
52,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,53330189625,8400,,15,,8,1,,,,2,8400,5,,,,0,,0
53,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,53330189629,8500,,15,,10,1,,,,2,8500,5,,,,0,,0
54,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,53330189632,8600,,15,,12,1,,,,2,8600,5,,,,0,,0
55,0x000be00000000000,0,ECI_CMD_MREQ_RLDD,53330190425,0,,15,,,1,,,2,0,0,7,,,0,0,0,
56,0x480bc00000000000,9,ECI_CMD_MRSP_PSHA,53330190816,0,0,15,0,,,0,,2,4,0,5,0,0,,0,,0
57,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,53330191254,8100,,0,,,1,,,0,0,8100,7,,,0,4,0,
58,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,53330191256,8200,,0,,,1,,,0,0,8200,7,,,0,4,0,
59,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,53330191258,8300,,0,,,1,,,0,0,8300,7,,,0,4,0,
60,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,53330191260,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
61,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,53330191262,8500,,0,,,1,,,16,0,8500,7,,,0,4,0,
62,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,53330191264,8600,,0,,,1,,,17,0,8600,7,,,0,4,0,
63,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,53330191424,8100,0,15,0,,,0,,0,4,8100,5,0,0,,0,,0
64,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,53330191459,8200,0,15,0,,,0,,0,4,8200,5,0,0,,0,,0
65,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,53330191495,8300,0,15,0,,,0,,0,4,8300,5,0,0,,0,,0
66,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,53330191530,8400,0,15,0,,,0,,17,4,8400,5,0,0,,0,,0
67,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,53330191566,8500,0,15,0,,,0,,16,4,8500,5,0,0,,0,,0
68,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,53330191601,8600,0,15,0,,,0,,17,4,8600,5,0,0,,0,,0
69,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,53330191702,8000,,15,,,1,,,1,0,8000,7,,,0,0,0,
70,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,53330192182,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
71,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,53330192184,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
72,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,53330192188,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
73,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,53330192190,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
74,0x582be40000008500,11,ECI_CMD_MFWD_FEVX_EH,53330192195,8500,,15,,10,1,,1,,5,8500,9,0,,0,0,,
75,0x5833e40000008600,11,ECI_CMD_MFWD_FEVX_EH,53330192197,8600,,15,,12,1,,1,,5,8600,9,0,,0,0,,
76,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,53330192256,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
77,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,53330192260,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
78,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,53330192265,8300,,15,,6,1,,,,2,8300,5,,,,0,,0
79,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,53330192267,8400,,15,,8,1,,,,2,8400,5,,,,0,,0
80,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,53330192273,8500,,15,,10,1,,,,2,8500,5,,,,0,,0
81,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,53330192275,8600,,15,,12,1,,,,2,8600,5,,,,0,,0
82,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,53330192755,8000,0,15,0,,,0,,1,4,8000,5,0,0,,0,,0
83,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,53330193111,0,,15,,0,1,,1,,5,0,9,0,,0,0,,
84,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,53330193175,0,,0,,0,1,,,,1,0,11,,,,0,,0
85,0x3807e00000008000,7,ECI_CMD_MREQ_RC2D_S,53330193737,8000,,15,,,1,,,1,0,8000,7,,,0,0,0,
86,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,53330193757,8100,,0,,,1,,,0,0,8100,7,,,0,4,0,
87,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,53330193759,8200,,0,,,1,,,0,0,8200,7,,,0,4,0,
88,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,53330193761,8300,,0,,,1,,,0,0,8300,7,,,0,4,0,
89,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,53330193763,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
90,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,53330193765,8500,,0,,,1,,,17,0,8500,7,,,0,4,0,
91,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,53330193767,8600,,0,,,1,,,17,0,8600,7,,,0,4,0,
92,0x5004000000008000,10,ECI_CMD_MRSP_PEMD,53330193819,8000,0,0,0,,,0,,1,3,8000,11,0,0,,0,,0
93,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,53330193944,8100,0,15,0,,,0,,0,4,8100,5,0,0,,0,,0
94,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,53330193979,8200,0,15,0,,,0,,0,4,8200,5,0,0,,0,,0
95,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,53330194015,8300,0,15,0,,,0,,0,4,8300,5,0,0,,0,,0
96,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,53330194050,8400,0,15,0,,,0,,17,4,8400,5,0,0,,0,,0
97,0x5047c00000008500,10,ECI_CMD_MRSP_PEMD,53330194086,8500,0,15,0,,,0,,17,4,8500,5,0,0,,0,,0
98,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,53330194121,8600,0,15,0,,,0,,17,4,8600,5,0,0,,0,,0
99,0x5803e40000008000,11,ECI_CMD_MFWD_FEVX_EH,53330194350,8000,,15,,0,1,,1,,5,8000,9,0,,0,0,,
100,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,53330194428,8000,,15,,0,1,,,,2,8000,5,,,,0,,0
101,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,53330194678,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
102,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,53330194680,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
103,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,53330194684,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
104,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,53330194686,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
