Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
847,15,0,000447f8a664,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
848,0,1,000447f90b70,80fe0000000090380087d3e473ff0100000000000000000002ffa10003feff31530e00000000000080feff3a200000000060dd86a1000331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
849,1,0,000447f90b71,00000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
850,2,0,000447f90b72,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
851,3,0,000447f90b73,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
852,4,0,000447f90b74,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
853,5,0,000447f90b75,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
854,6,0,000447f90b76,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
855,7,0,000447f90b77,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
856,8,0,000447f90b78,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
857,9,0,000447f90b79,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
858,10,0,000447f90b7a,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
859,11,0,000447f90b7b,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
860,12,0,000447f90b7c,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
861,13,0,000447f90b7d,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
862,14,0,000447f90b7e,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
863,15,0,000447f90b7f,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb,0000000000000000,0,0,0,"_","_"
864,0,1,000447f97826,80fe0000000050380087d3e473ff0100000000000000000002ffc10003feff31530e00000000000080feff3a200000000060dd86c1000331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
865,1,0,000447f97827,000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ead89bc1000331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
866,2,0,000447f97828,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
867,3,0,000447f97829,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
868,4,0,000447f9782a,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
869,5,0,000447f9782b,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
870,6,0,000447f9782c,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
871,7,0,000447f9782d,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
872,8,0,000447f9782e,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
873,9,0,000447f9782f,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
874,10,0,000447f97830,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
875,11,0,000447f97831,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
876,12,0,000447f97832,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
877,13,0,000447f97833,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
878,14,0,000447f97834,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
879,15,0,000447f97835,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e00000000000007ea,0000000000000000,0,0,0,"_","_"
880,0,1,000447facb9c,80fe00000000ef610087d3e473ff0100000000000000000002ff91a063feff1452f600000000000080feff3a200000000060dd8691a0631452f4d3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
881,1,0,000447facb9d,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
882,2,0,000447facb9e,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
883,3,0,000447facb9f,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
884,4,0,000447facba0,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
885,5,0,000447facba1,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
886,6,0,000447facba2,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
887,7,0,000447facba3,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
888,8,0,000447facba4,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
889,9,0,000447facba5,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
890,10,0,000447facba6,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
891,11,0,000447facba7,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
892,12,0,000447facba8,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
893,13,0,000447facba9,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
894,14,0,000447facbaa,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
895,15,0,000447facbab,000000000000000000000000000000000000000000000000000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
896,0,1,00045b5d616a,80fe0000000090360087d3e473ff0100000000000000000002ffa10103feff31530e00000000000080feff3a200000000060dd86a1010331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
897,1,0,00045b5d616b,000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559551ca1010331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
898,2,0,00045b5d616c,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
