Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
786,2,0,000fb3a6fe6d,00000000000000000000000000000000000000000000000072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,0000000000000000,0,0,0,"_","_"
787,3,0,000fb3a6fe6e,2d35322d302e30312e352078756e694c3d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,ffffffffffffffff,0,1,0,"Active","Stream Beat"
788,4,0,000fb3a6fe6f,0000000000000000613762312d383664382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,0000000000000000,0,0,0,"_","_"
789,5,0,000fb3a6fe70,3330366465393463613762312d383664382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,ffffffffffffffff,0,1,0,"Active","Stream Beat"
790,6,0,000fb3a6fe71,2d323935342d383636322d33386464366238363d4449726567616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,ffffffffffffffff,0,1,0,"Active","Stream Beat"
791,7,0,000fb3a6fe72,00000000000000000000000000000000000000751ad7a9003435322e3139312e3836312e3239313d74736f4800302d3330366465393463613762312d38366438,000001ffffffffff,0,1,1,"Active","Last Stream"
792,0,0,000fbc8bee8f,000000000000000000000000000000000000000000000000febfa8c091a06314febfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
793,1,1,000fbc8bee90,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
794,2,0,000fbc8bee91,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
795,3,0,000fbc8bee92,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
796,4,0,000fbc8bee93,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
797,5,0,000fbc8bee94,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
798,6,0,000fbc8bee95,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
799,7,0,000fbc8bee96,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
800,0,0,000fd0376cf0,00000000000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
801,1,1,000fd0376cf1,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
802,2,0,000fd0376cf2,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
803,3,0,000fd0376cf3,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
804,4,0,000fd0376cf4,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
805,5,0,000fd0376cf5,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
806,6,0,000fd0376cf6,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
807,7,0,000fd0376cf7,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000539cc64c000000000000000000000000,0000000000000000,0,0,0,"_","_"
808,0,0,000fe3e440b2,00000000000000000000000000000000000000000000000052f40200040600080100060891a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
809,1,1,000fe3e440b3,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
810,2,0,000fe3e440b4,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
811,3,0,000fe3e440b5,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
812,4,0,000fe3e440b6,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
813,5,0,000fe3e440b7,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
814,6,0,000fe3e440b8,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
815,7,0,000fe3e440b9,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
816,0,0,000ff78e205b,000000000000000000000000000000000000000000000000febfa8c091a06314febfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
817,1,1,000ff78e205c,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
818,2,0,000ff78e205d,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
819,3,0,000ff78e205e,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
820,4,0,000ff78e205f,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
821,5,0,000ff78e2060,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
