Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
405,405,0,0007e00000008000,01,07,0,0000000a0f98e678,1,0
406,406,0,4807c00000008000,11,05,4,0000000a0f98e7c9,1,0
407,407,0,0003e00000000000,01,07,0,0000000a0f98e833,1,0
408,408,0,4803c00000000000,11,05,4,0000000a0f98e93a,1,0
409,409,0,3803e00000008000,01,07,0,0000000a0f98ea5a,1,0
410,410,0,2800300000008100,01,07,0,0000000a0f98ea67,1,0
411,411,0,2804300000008200,01,07,0,0000000a0f98ea69,1,0
412,412,0,2808300000008300,01,07,0,0000000a0f98ea6b,1,0
413,413,0,2844300000008400,01,07,0,0000000a0f98ea6d,1,0
414,414,0,2844300000008500,01,07,0,0000000a0f98ea6f,1,0
415,415,0,2840300000008600,01,07,0,0000000a0f98ea71,1,0
416,416,0,5000000000008000,01,0b,3,0000000a0f98ea73,1,0
417,417,0,5003c00000008100,11,05,4,0000000a0f98eabe,1,0
418,418,0,5007c00000008200,11,05,4,0000000a0f98ead4,1,0
419,419,0,500bc00000008300,11,05,4,0000000a0f98eaea,1,0
420,420,0,5047c00000008400,11,05,4,0000000a0f98eb00,1,0
421,421,0,0007e00000008100,11,05,2,0000000a0f98eb12,1,0
422,422,0,5047c00000008500,11,05,4,0000000a0f98eb16,1,0
423,423,0,0007e00000008200,11,05,2,0000000a0f98eb25,1,0
424,424,0,5043c00000008600,11,05,4,0000000a0f98eb2c,1,0
425,425,0,0007e00000008300,11,05,2,0000000a0f98eb3d,1,0
426,426,0,0007e00000008400,11,05,2,0000000a0f98eb53,1,0
427,427,0,0007e00000008500,11,05,2,0000000a0f98eb6a,1,0
428,428,0,0007e00000008600,11,05,2,0000000a0f98eb7f,1,0
429,429,0,5803e40000008000,01,09,5,0000000a0f98ebc4,1,0
430,430,0,1803e00000008000,11,05,2,0000000a0f98ec13,1,0
431,431,0,7003e40000000000,01,09,5,0000000a0f98edb3,1,0
432,432,0,2000200000000000,01,0b,1,0000000a0f98edf6,1,0
433,433,0,2800300000008100,01,07,0,0000000a0f98ef61,1,0
434,434,0,2804300000008200,01,07,0,0000000a0f98ef63,1,0
435,435,0,2804300000008300,01,07,0,0000000a0f98ef65,1,0
436,436,0,2840300000008400,01,07,0,0000000a0f98ef67,1,0
437,437,0,2844300000008500,01,07,0,0000000a0f98ef69,1,0
438,438,0,2840300000008600,01,07,0,0000000a0f98ef6b,1,0
439,439,0,5003c00000008100,11,05,4,0000000a0f98efad,1,0
440,440,0,5007c00000008200,11,05,4,0000000a0f98efc3,1,0
441,441,0,5007c00000008300,11,05,4,0000000a0f98efd9,1,0
442,442,0,5043c00000008400,11,05,4,0000000a0f98efef,1,0
443,443,0,0007e00000008100,11,05,2,0000000a0f98f000,1,0
444,444,0,5047c00000008500,11,05,4,0000000a0f98f005,1,0
445,445,0,0007e00000008200,11,05,2,0000000a0f98f017,1,0
446,446,0,5043c00000008600,11,05,4,0000000a0f98f01b,1,0
447,447,0,0007e00000008300,11,05,2,0000000a0f98f02d,1,0
448,448,0,0007e00000008400,11,05,2,0000000a0f98f040,1,0
449,449,0,0007e00000008500,11,05,2,0000000a0f98f057,1,0
450,450,0,0007e00000008600,11,05,2,0000000a0f98f06e,1,0
451,451,0,0007e00000008000,01,07,0,0000000a0f98f077,1,0
452,452,0,4807c00000008000,11,05,4,0000000a0f98f1c9,1,0
453,453,0,3803e00000008000,01,07,0,0000000a0f98f382,1,0
454,454,0,2804300000008100,01,07,0,0000000a0f98f38e,1,0
455,455,0,2804300000008200,01,07,0,0000000a0f98f390,1,0
456,456,0,2800300000008300,01,07,0,0000000a0f98f392,1,0
457,457,0,2844300000008400,01,07,0,0000000a0f98f394,1,0
458,458,0,2840300000008500,01,07,0,0000000a0f98f396,1,0
459,459,0,2840300000008600,01,07,0,0000000a0f98f398,1,0
460,460,0,5000000000008000,01,0b,3,0000000a0f98f39a,1,0
461,461,0,5007c00000008100,11,05,4,0000000a0f98f3e5,1,0
462,462,0,5007c00000008200,11,05,4,0000000a0f98f3fb,1,0
463,463,0,5003c00000008300,11,05,4,0000000a0f98f411,1,0
464,464,0,5047c00000008400,11,05,4,0000000a0f98f427,1,0
465,465,0,0007e00000008100,11,05,2,0000000a0f98f438,1,0
466,466,0,5043c00000008500,11,05,4,0000000a0f98f43d,1,0
467,467,0,0007e00000008200,11,05,2,0000000a0f98f44e,1,0
468,468,0,5043c00000008600,11,05,4,0000000a0f98f453,1,0
469,469,0,0007e00000008300,11,05,2,0000000a0f98f464,1,0
470,470,0,0007e00000008400,11,05,2,0000000a0f98f47a,1,0
471,471,0,0007e00000008500,11,05,2,0000000a0f98f490,1,0
472,472,0,0007e00000008600,11,05,2,0000000a0f98f4a6,1,0
473,473,0,5803e40000008000,01,09,5,0000000a0f98f4e7,1,0
474,474,0,1803e00000008000,11,05,2,0000000a0f98f534,1,0
475,475,0,0007e00000000000,01,07,0,0000000a0f98f65f,1,0
476,476,0,4807c00000000000,11,05,4,0000000a0f98f734,1,0
477,477,0,2804300000008100,01,07,0,0000000a0f98f861,1,0
478,478,0,2800300000008200,01,07,0,0000000a0f98f863,1,0
479,479,0,2800300000008300,01,07,0,0000000a0f98f865,1,0
480,480,0,2840300000008400,01,07,0,0000000a0f98f867,1,0
481,481,0,2840300000008500,01,07,0,0000000a0f98f869,1,0
482,482,0,2840300000008600,01,07,0,0000000a0f98f86b,1,0
483,483,0,5007c00000008100,11,05,4,0000000a0f98f8ad,1,0
484,484,0,5003c00000008200,11,05,4,0000000a0f98f8c3,1,0
485,485,0,5003c00000008300,11,05,4,0000000a0f98f8d9,1,0
486,486,0,5043c00000008400,11,05,4,0000000a0f98f8ef,1,0
