Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
363,363,0,4803c00000000080,11,04,4,0000001036222230,1,0
364,364,0,2804300000008180,01,06,0,00000010362223ce,1,0
365,365,0,2804300000008280,01,06,0,00000010362223d1,1,0
366,366,0,2800300000008380,01,06,0,00000010362223d4,1,0
367,367,0,2844300000008480,01,06,0,00000010362223d7,1,0
368,368,0,2840300000008580,01,06,0,00000010362223da,1,0
369,369,0,2843f00000008680,01,06,0,00000010362223dd,1,0
370,370,0,5007c00000008180,11,04,4,000000103622247b,1,0
371,371,0,5007c00000008280,11,04,4,000000103622249e,1,0
372,372,0,5003c00000008380,11,04,4,00000010362224c2,1,0
373,373,0,0007e00000008180,11,04,2,00000010362224ca,1,0
374,374,0,5047c00000008480,11,04,4,00000010362224e5,1,0
375,375,0,0007e00000008280,11,04,2,00000010362224ec,1,0
376,376,0,5043c00000008580,11,04,4,0000001036222509,1,0
377,377,0,0007e00000008380,11,04,2,0000001036222512,1,0
378,378,0,5043c00000008680,11,04,4,000000103622252c,1,0
379,379,0,0007e00000008480,11,04,2,0000001036222535,1,0
380,380,0,0007e00000008580,11,04,2,0000001036222558,1,0
381,381,0,0007e00000008680,11,04,2,000000103622257d,1,0
382,382,0,0007e00000008080,01,06,0,0000001036222588,1,0
383,383,0,4807c00000008080,11,04,4,00000010362227e1,1,0
384,384,0,7007e40000000080,01,08,5,00000010362229f2,1,0
385,385,0,2004200000000080,01,0a,1,0000001036222a35,1,0
386,386,0,3803e00000008080,01,06,0,0000001036222c80,1,0
387,387,0,2800300000008180,01,06,0,0000001036222c97,1,0
388,388,0,2800300000008280,01,06,0,0000001036222c9a,1,0
389,389,0,2800300000008380,01,06,0,0000001036222c9d,1,0
390,390,0,2840300000008480,01,06,0,0000001036222ca0,1,0
391,391,0,2840300000008580,01,06,0,0000001036222ca3,1,0
392,392,0,2847f00000008680,01,06,0,0000001036222ca6,1,0
393,393,0,5000000000008080,01,0a,3,0000001036222ccf,1,0
394,394,0,5003c00000008180,11,04,4,0000001036222d54,1,0
395,395,0,5003c00000008280,11,04,4,0000001036222d78,1,0
396,396,0,5003c00000008380,11,04,4,0000001036222d9b,1,0
397,397,0,0007e00000008180,11,04,2,0000001036222da2,1,0
398,398,0,5043c00000008480,11,04,4,0000001036222dbf,1,0
399,399,0,0007e00000008280,11,04,2,0000001036222dc8,1,0
400,400,0,5043c00000008580,11,04,4,0000001036222de2,1,0
401,401,0,0007e00000008380,11,04,2,0000001036222dea,1,0
402,402,0,5047c00000008680,11,04,4,0000001036222e06,1,0
403,403,0,0007e00000008480,11,04,2,0000001036222e0f,1,0
404,404,0,0007e00000008580,11,04,2,0000001036222e30,1,0
405,405,0,0007e00000008680,11,04,2,0000001036222e5d,1,0
406,406,0,5807e40000008080,01,08,5,0000001036222efe,1,0
407,407,0,1807e00000008080,11,04,2,0000001036222f4b,1,0
408,408,0,0007e00000000080,01,06,0,0000001036223130,1,0
409,409,0,4807c00000000080,11,04,4,0000001036223303,1,0
410,410,0,2800300000008180,01,06,0,00000010362234a6,1,0
411,411,0,2800300000008280,01,06,0,00000010362234a9,1,0
412,412,0,2800300000008380,01,06,0,00000010362234ab,1,0
413,413,0,2844300000008480,01,06,0,00000010362234ad,1,0
414,414,0,2840300000008580,01,06,0,00000010362234af,1,0
415,415,0,2847f00000008680,01,06,0,00000010362234b1,1,0
416,416,0,5003c00000008180,11,04,4,0000001036223553,1,0
417,417,0,5003c00000008280,11,04,4,0000001036223576,1,0
418,418,0,5003c00000008380,11,04,4,000000103622359a,1,0
419,419,0,0007e00000008180,11,04,2,00000010362235a2,1,0
420,420,0,5047c00000008480,11,04,4,00000010362235bd,1,0
