Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
380,380,0,2014200000000280,01,0a,1,0000000e4aecad81,1,0
381,381,0,201c200000000380,01,0a,1,0000000e4aecad86,1,0
382,382,0,2024200000000480,01,0a,1,0000000e4aecad88,1,0
383,383,0,202c200000000580,01,0a,1,0000000e4aecad8e,1,0
384,384,0,7007e40000000080,01,08,5,0000000e4aecae2f,1,0
385,385,0,2004200000000080,01,0a,1,0000000e4aecae73,1,0
386,386,0,3803e00000008080,01,06,0,0000000e59ac66ee,1,0
387,387,0,5000000000008080,01,0a,3,0000000e59ac673d,1,0
388,388,0,5807e40000008080,01,08,5,0000000e59ac681f,1,0
389,389,0,1807e00000008080,11,04,2,0000000e59ac686d,1,0
390,390,0,2804300000008180,01,06,0,0000000e5e978361,1,0
391,391,0,2800300000008280,01,06,0,0000000e5e978364,1,0
392,392,0,2800300000008380,01,06,0,0000000e5e978367,1,0
393,393,0,2840300000008480,01,06,0,0000000e5e97836a,1,0
394,394,0,2840300000008580,01,06,0,0000000e5e97836d,1,0
395,395,0,5007c00000008180,11,04,4,0000000e5e97840e,1,0
396,396,0,5003c00000008280,11,04,4,0000000e5e978431,1,0
397,397,0,5003c00000008380,11,04,4,0000000e5e978455,1,0
398,398,0,0007e00000008180,11,04,2,0000000e5e97845e,1,0
399,399,0,5043c00000008480,11,04,4,0000000e5e978478,1,0
400,400,0,0007e00000008280,11,04,2,0000000e5e97847f,1,0
401,401,0,5043c00000008580,11,04,4,0000000e5e97849b,1,0
402,402,0,0007e00000008380,11,04,2,0000000e5e9784a5,1,0
403,403,0,0007e00000008480,11,04,2,0000000e5e9784c8,1,0
404,404,0,0007e00000008580,11,04,2,0000000e5e9784ea,1,0
405,405,0,0007e00000008080,01,06,0,0000000e5e978509,1,0
406,406,0,4807c00000008080,11,04,4,0000000e5e97875d,1,0
407,407,0,0003e00000000080,01,06,0,0000000e5e980e0b,1,0
408,408,0,4803c00000000080,11,04,4,0000000e5e980f9e,1,0
409,409,0,0007ec0000000180,01,06,0,0000000e5e981152,1,0
410,410,0,4807c00000000180,11,04,4,0000000e5e9811ff,1,0
