size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
128,3762879135,3762879027,3762879036,3762879046,3762878765,3762879115,3762879125,3762879129,3762879071,3762879133,3762881226,3762881013
128,3762888077,3762887969,3762887978,3762887987,3762887709,3762888057,3762888067,3762888071,3762888013,3762888075,3762890165,3762889951
128,3762897015,3762896907,3762896916,3762896926,3762896645,3762896995,3762897005,3762897009,3762896951,3762897013,3762899099,3762898887
128,3762905961,3762905853,3762905862,3762905872,3762905592,3762905942,3762905951,3762905955,3762905897,3762905959,3762908047,3762907834
128,3762914948,3762914840,3762914849,3762914859,3762914576,3762914928,3762914938,3762914942,3762914884,3762914946,3762917033,3762916821
128,3762923926,3762923817,3762923826,3762923836,3762923555,3762923906,3762923916,3762923920,3762923861,3762923924,3762926014,3762925800
128,3762932903,3762932795,3762932804,3762932814,3762932533,3762932883,3762932893,3762932897,3762932839,3762932901,3762934991,3762934778
128,3762941877,3762941769,3762941778,3762941788,3762941508,3762941857,3762941867,3762941871,3762941813,3762941875,3762943965,3762943751
128,3762950847,3762950738,3762950747,3762950757,3762950477,3762950827,3762950837,3762950841,3762950782,3762950845,3762952935,3762952721
128,3762959792,3762959684,3762959693,3762959703,3762959423,3762959772,3762959782,3762959786,3762959728,3762959790,3762961877,3762961664
128,3762968729,3762968621,3762968630,3762968640,3762968360,3762968710,3762968719,3762968723,3762968665,3762968727,3762970816,3762970603
128,3762977685,3762977576,3762977585,3762977595,3762977315,3762977665,3762977675,3762977679,3762977620,3762977683,3762979771,3762979557
128,3762986631,3762986522,3762986531,3762986541,3762986261,3762986611,3762986621,3762986625,3762986566,3762986629,3762988716,3762988503
128,3762995595,3762995486,3762995495,3762995505,3762995225,3762995575,3762995585,3762995589,3762995530,3762995593,3762997680,3762997467
128,3763004558,3763004449,3763004458,3763004468,3763004188,3763004538,3763004548,3763004552,3763004493,3763004556,3763006645,3763006432
128,3763013505,3763013398,3763013407,3763013416,3763013137,3763013486,3763013495,3763013499,3763013442,3763013503,3763015592,3763015378
128,3763022444,3763022337,3763022346,3763022355,3763022075,3763022425,3763022434,3763022438,3763022381,3763022442,3763024529,3763024317
128,3763031386,3763031278,3763031287,3763031297,3763031017,3763031367,3763031376,3763031380,3763031322,3763031384,3763033476,3763033262
128,3763040326,3763040219,3763040228,3763040237,3763039958,3763040307,3763040316,3763040320,3763040263,3763040324,3763042410,3763042197
128,3763049292,3763049185,3763049194,3763049203,3763048924,3763049273,3763049282,3763049286,3763049229,3763049290,3763051377,3763051164
128,3763058281,3763058173,3763058182,3763058191,3763057911,3763058261,3763058271,3763058275,3763058217,3763058279,3763060367,3763060154
128,3763076366,3763076258,3763076267,3763076277,3763075984,3763076346,3763076356,3763076360,3763076302,3763076364,3763078454,3763078240
128,3763085343,3763085235,3763085244,3763085254,3763084974,3763085324,3763085333,3763085337,3763085279,3763085341,3763087431,3763087218
128,3763094307,3763094199,3763094208,3763094218,3763093934,3763094288,3763094297,3763094301,3763094243,3763094305,3763096396,3763096182
128,3763103277,3763103168,3763103177,3763103187,3763102906,3763103257,3763103267,3763103271,3763103212,3763103275,3763105364,3763105150
128,3763116333,3763116224,3763116233,3763116243,3763115951,3763116313,3763116323,3763116327,3763116268,3763116331,3763118422,3763118208
128,3763125361,3763125253,3763125262,3763125272,3763124991,3763125341,3763125351,3763125355,3763125297,3763125359,3763127448,3763127235
128,3763134390,3763134282,3763134291,3763134301,3763134020,3763134370,3763134380,3763134384,3763134326,3763134388,3763136485,3763136271
128,3763143436,3763143328,3763143337,3763143347,3763143067,3763143416,3763143426,3763143430,3763143372,3763143434,3763145523,3763145310
128,3763152381,3763152273,3763152282,3763152291,3763152012,3763152362,3763152371,3763152375,3763152317,3763152379,3763154466,3763154253
128,3763161324,3763161216,3763161225,3763161234,3763160955,3763161304,3763161314,3763161318,3763161260,3763161322,3763163413,3763163199
192,3763173917,3763173807,3763173817,3763173827,3763173537,3763173897,3763173907,3763173911,3763173851,3763173915,3763176757,3763176544
192,3763184963,3763184853,3763184863,3763184873,3763184525,3763184943,3763184953,3763184957,3763184897,3763184961,3763187801,3763187589
192,3763195447,3763195336,3763195346,3763195356,3763195066,3763195426,3763195437,3763195441,3763195380,3763195445,3763198274,3763198062
192,3763205214,3763205103,3763205113,3763205124,3763204830,3763205194,3763205204,3763205208,3763205147,3763205212,3763208048,3763207835
192,3763215071,3763214961,3763214971,3763214981,3763214687,3763215050,3763215061,3763215065,3763215005,3763215069,3763217903,3763217691
192,3763224860,3763224749,3763224759,3763224770,3763224480,3763224839,3763224850,3763224854,3763224793,3763224858,3763227700,3763227487
192,3763234565,3763234454,3763234464,3763234474,3763234184,3763234544,3763234555,3763234559,3763234498,3763234563,3763237395,3763237183
192,3763244316,3763244206,3763244216,3763244226,3763243936,3763244296,3763244306,3763244310,3763244250,3763244314,3763247144,3763246930
192,3763254103,3763253992,3763254002,3763254013,3763253724,3763254083,3763254093,3763254097,3763254036,3763254101,3763256937,3763256723
192,3763263878,3763263767,3763263777,3763263787,3763263497,3763263857,3763263868,3763263872,3763263811,3763263876,3763266705,3763266492
192,3763273635,3763273524,3763273534,3763273545,3763273254,3763273614,3763273625,3763273629,3763273568,3763273633,3763276461,3763276249
192,3763283380,3763283269,3763283279,3763283290,3763282999,3763283359,3763283370,3763283374,3763283313,3763283378,3763286205,3763285992
192,3763293092,3763292982,3763292992,3763293002,3763292713,3763293071,3763293082,3763293086,3763293026,3763293090,3763295917,3763295705
192,3763302784,3763302673,3763302683,3763302694,3763302404,3763302763,3763302774,3763302778,3763302717,3763302782,3763305608,3763305396
192,3763312476,3763312365,3763312375,3763312385,3763312096,3763312455,3763312466,3763312470,3763312409,3763312474,3763315306,3763315093
192,3763322168,3763322057,3763322067,3763322077,3763321788,3763322148,3763322158,3763322162,3763322101,3763322166,3763324995,3763324781
192,3763331887,3763331776,3763331786,3763331796,3763331507,3763331866,3763331877,3763331881,3763331820,3763331885,3763334713,3763334501
192,3763341617,3763341506,3763341516,3763341526,3763341236,3763341597,3763341607,3763341611,3763341550,3763341615,3763344443,3763344230
192,3763351304,3763351194,3763351204,3763351214,3763350924,3763351283,3763351294,3763351298,3763351238,3763351302,3763354135,3763353921
192,3763361004,3763360893,3763360903,3763360913,3763360624,3763360983,3763360994,3763360998,3763360937,3763361002,3763363829,3763363617
192,3763381403,3763381292,3763381302,3763381313,3763381013,3763381383,3763381393,3763381397,3763381336,3763381401,3763384230,3763384016
192,3763391158,3763391047,3763391057,3763391068,3763390777,3763391137,3763391148,3763391152,3763391091,3763391156,3763393983,3763393771
192,3763400881,3763400771,3763400781,3763400791,3763400501,3763400860,3763400871,3763400875,3763400815,3763400879,3763403706,3763403493
192,3763410671,3763410560,3763410570,3763410580,3763410287,3763410650,3763410661,3763410665,3763410604,3763410669,3763413497,3763413284
192,3763420488,3763420378,3763420388,3763420398,3763420105,3763420468,3763420478,3763420482,3763420422,3763420486,3763423314,3763423102
192,3763430200,3763430090,3763430100,3763430110,3763429821,3763430179,3763430190,3763430194,3763430134,3763430198,3763433027,3763432814
192,3763439920,3763439809,3763439819,3763439830,3763439540,3763439900,3763439910,3763439914,3763439853,3763439918,3763442747,3763442534
192,3763449620,3763449509,3763449519,3763449530,3763449241,3763449599,3763449610,3763449614,3763449553,3763449618,3763452444,3763452232
192,3763459321,3763459210,3763459220,3763459230,3763458941,3763459301,3763459311,3763459315,3763459254,3763459319,3763462148,3763461934
192,3763469049,3763468938,3763468948,3763468958,3763468669,3763469029,3763469039,3763469043,3763468982,3763469047,3763471874,3763471662
192,3763478911,3763478801,3763478811,3763478821,3763478532,3763478891,3763478901,3763478905,3763478845,3763478909,3763481738,3763481526
192,3763488660,3763488548,3763488558,3763488569,3763488279,3763488639,3763488650,3763488654,3763488592,3763488658,3763491493,3763491281
192,3763498399,3763498289,3763498299,3763498309,3763498019,3763498378,3763498389,3763498393,3763498333,3763498397,3763501226,3763501013
192,3763508136,3763508026,3763508036,3763508046,3763507757,3763508116,3763508126,3763508130,3763508070,3763508134,3763510963,3763510749
192,3763517838,3763517727,3763517737,3763517747,3763517458,3763517817,3763517828,3763517832,3763517771,3763517836,3763520665,3763520452
192,3763527529,3763527418,3763527428,3763527438,3763527149,3763527508,3763527519,3763527523,3763527462,3763527527,3763530354,3763530142
192,3763537223,3763537113,3763537123,3763537133,3763536844,3763537203,3763537213,3763537217,3763537157,3763537221,3763540048,3763539836
192,3763546918,3763546807,3763546817,3763546827,3763546538,3763546897,3763546908,3763546912,3763546851,3763546916,3763549744,3763549532
192,3763556766,3763556654,3763556664,3763556675,3763556385,3763556746,3763556756,3763556760,3763556698,3763556764,3763559594,3763559380
192,3763566487,3763566376,3763566386,3763566397,3763566107,3763566467,3763566477,3763566481,3763566420,3763566485,3763569313,3763569100
192,3763576181,3763576071,3763576081,3763576091,3763575802,3763576161,3763576171,3763576175,3763576115,3763576179,3763579008,3763578794
192,3763585877,3763585766,3763585776,3763585787,3763585497,3763585857,3763585867,3763585871,3763585810,3763585875,3763588703,3763588490
192,3763595563,3763595452,3763595462,3763595473,3763595183,3763595543,3763595553,3763595557,3763595496,3763595561,3763598390,3763598177
192,3763605260,3763605149,3763605159,3763605170,3763604879,3763605239,3763605250,3763605254,3763605193,3763605258,3763608086,3763607873
192,3763614991,3763614880,3763614890,3763614901,3763614611,3763614970,3763614981,3763614985,3763614924,3763614989,3763617818,3763617604
192,3763624720,3763624610,3763624620,3763624630,3763624341,3763624700,3763624710,3763624714,3763624654,3763624718,3763627543,3763627331
192,3763634447,3763634336,3763634346,3763634357,3763634067,3763634426,3763634437,3763634441,3763634380,3763634445,3763637277,3763637063
192,3763644176,3763644066,3763644076,3763644086,3763643797,3763644156,3763644166,3763644170,3763644110,3763644174,3763647001,3763646788
192,3763653890,3763653778,3763653788,3763653799,3763653509,3763653869,3763653880,3763653884,3763653822,3763653888,3763656717,3763656504
192,3763663586,3763663475,3763663485,3763663496,3763663206,3763663565,3763663576,3763663580,3763663519,3763663584,3763666412,3763666200
256,3763685242,3763685128,3763685139,3763685150,3763684846,3763685220,3763685232,3763685236,3763685172,3763685240,3763688815,3763688602
