request_id,xid,worker_id,ok,request_bytes,response_bytes,server_rx_enter_ns,server_rx_unblock_ns,server_rx_exit_ns,server_unmarshal_enter_ns,server_unmarshal_exit_ns,server_handler_enter_ns,server_handler_exit_ns,server_marshal_enter_ns,server_marshal_exit_ns,server_tx_enter_ns,server_tx_exit_ns,timestamp_overhead_ns,timestamp_call_count
1994,-1949352342,0,1,48,8,114938395890,114938413760,114938414020,114938414090,114938414740,114938414870,114938414970,114938415060,114938415380,114938415470,114938418110,50,11
1995,-1932575126,0,1,48,8,114938487560,114938502700,114938502960,114938503030,114938503690,114938503810,114938503910,114938504010,114938504330,114938504410,114938507040,50,11
1996,-1915797910,0,1,48,8,114938576480,114938592480,114938592740,114938592810,114938593470,114938593590,114938593690,114938593790,114938594110,114938594190,114938596840,50,11
1997,-1899020694,0,1,48,8,114938666280,114938681840,114938682090,114938682160,114938682820,114938682940,114938683040,114938683140,114938683460,114938683550,114938686170,50,11
1998,-1882243478,0,1,48,8,114938755520,114938770010,114938770260,114938770340,114938770990,114938771110,114938771220,114938771310,114938771630,114938771720,114938774370,50,11
1999,-1865466262,0,1,48,8,114938843850,114938858810,114938859070,114938859140,114938859790,114938859920,114938860020,114938860110,114938860430,114938860520,114938863160,50,11
2000,-1848689046,0,1,48,8,114938941430,114938968660,114938968910,114938968990,114938969740,114938969860,114938969950,114938970050,114938970370,114938970450,114938973100,50,11
2001,-1831911830,0,1,48,8,114939042830,114939068100,114939068350,114939068420,114939069080,114939069200,114939069300,114939069400,114939069720,114939069810,114939072440,50,11
2002,-1815134614,0,1,48,8,114939142010,114939159160,114939159410,114939159480,114939160140,114939160260,114939160360,114939160460,114939160780,114939160870,114939163510,50,11
2003,-1798357398,0,1,48,8,114939233000,114939249710,114939249960,114939250030,114939250690,114939250810,114939250910,114939251010,114939251330,114939251420,114939254040,50,11
2004,-1781580182,0,1,48,8,114939323560,114939338950,114939339200,114939339270,114939339930,114939340050,114939340150,114939340250,114939340570,114939340660,114939343290,50,11
2005,-1764802966,0,1,48,8,114939377260,114939427150,114939427440,114939427510,114939428260,114939428390,114939428490,114939428630,114939428940,114939429030,114939431650,50,11
2006,-1748025750,0,1,48,8,114939502140,114939515780,114939516030,114939516110,114939516760,114939516880,114939516990,114939517080,114939517400,114939517490,114939520130,50,11
2007,-1731248534,0,1,48,8,114939589530,114939605610,114939605870,114939605940,114939606600,114939606720,114939606820,114939606920,114939607240,114939607320,114939609950,50,11
2008,-1714471318,0,1,48,8,114939679450,114939695150,114939695400,114939695470,114939696150,114939696270,114939696370,114939696470,114939696790,114939696880,114939699520,50,11
2009,-1697694102,0,1,48,8,114939768970,114939783080,114939783330,114939783400,114939784060,114939784180,114939784280,114939784380,114939784700,114939784790,114939787420,50,11
2010,-1680916886,0,1,48,8,114939856980,114939871610,114939871880,114939871950,114939872610,114939872730,114939872830,114939872930,114939873250,114939873340,114939875990,50,11
2011,-1664139670,0,1,48,8,114939955920,114939988310,114939988560,114939988640,114939989310,114939989430,114939989540,114939989630,114939989950,114939990040,114939992670,50,11
2012,-1647362454,0,1,48,8,114940062420,114940079990,114940080240,114940080310,114940080970,114940081090,114940081200,114940081290,114940081610,114940081700,114940084330,50,11
2013,-1630585238,0,1,48,8,114940153880,114940171250,114940171510,114940171580,114940172260,114940172380,114940172480,114940172580,114940172890,114940172980,114940175620,50,11
2014,-1613808022,0,1,48,8,114940245120,114940261600,114940261850,114940261920,114940262580,114940262700,114940262800,114940262900,114940263220,114940263310,114940265950,50,11
2015,-1597030806,0,1,48,8,114940335380,114940351020,114940351270,114940351340,114940352000,114940352120,114940352220,114940352320,114940352640,114940352730,114940355350,50,11
2016,-1580253590,0,1,48,8,114940424790,114940441240,114940441500,114940441570,114940442240,114940442370,114940442470,114940442560,114940442880,114940442970,114940445620,50,11
2017,-1563476374,0,1,48,8,114940515120,114940530470,114940530730,114940530800,114940531450,114940531580,114940531680,114940531770,114940532090,114940532180,114940534800,50,11
2018,-1546699158,0,1,48,8,114940604330,114940621110,114940621370,114940621440,114940622120,114940622240,114940622340,114940622440,114940622760,114940622840,114940625480,50,11
2019,-1529921942,0,1,48,8,114940695610,114940709730,114940709980,114940710050,114940710730,114940710850,114940710950,114940711090,114940711410,114940711500,114940714130,50,11
2020,-1513144726,0,1,48,8,114940783660,114940798810,114940799060,114940799130,114940799790,114940799910,114940800010,114940800110,114940800430,114940800520,114940803150,50,11
2021,-1496367510,0,1,48,8,114940872600,114940886980,114940887240,114940887310,114940887970,114940888090,114940888190,114940888290,114940888600,114940888690,114940891320,50,11
2022,-1479590294,0,1,48,8,114940969660,114941002310,114941002570,114941002640,114941003310,114941003440,114941003530,114941003670,114941003990,114941004070,114941006730,50,11
2023,-1462813078,0,1,48,8,114941076300,114941119470,114941119730,114941119800,114941120450,114941120580,114941120680,114941120780,114941121090,114941121180,114941123810,50,11
2024,-1446035862,0,1,48,8,114941193370,114941214830,114941215080,114941215150,114941215810,114941215930,114941216030,114941216130,114941216450,114941216540,114941219190,50,11
2025,-1429258646,0,1,48,8,114941288670,114941304960,114941305220,114941305290,114941305940,114941306070,114941306170,114941306260,114941306580,114941306670,114941309300,50,11
