size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
128,3340109466,3340109933,3340109942,3340109951,3340109664,3340110020,3340110030,3340110034,3340109979,3340110038,3340112101,3340111904
128,3340117812,3340118281,3340118290,3340118300,3340118011,3340118369,3340118379,3340118383,3340118327,3340118387,3340120449,3340120253
128,3340126084,3340126550,3340126559,3340126569,3340126281,3340126639,3340126648,3340126652,3340126596,3340126656,3340128720,3340128524
128,3340134424,3340134891,3340134900,3340134910,3340134622,3340134980,3340134989,3340134993,3340134937,3340134997,3340137061,3340136864
128,3340142693,3340143161,3340143170,3340143179,3340142892,3340143248,3340143258,3340143262,3340143207,3340143266,3340145330,3340145135
128,3340150958,3340151428,3340151437,3340151447,3340151157,3340151516,3340151526,3340151530,3340151474,3340151534,3340153602,3340153406
128,3340159309,3340159776,3340159785,3340159794,3340159506,3340159864,3340159874,3340159878,3340159822,3340159882,3340161945,3340161749
128,3340167572,3340168041,3340168050,3340168059,3340167770,3340168128,3340168138,3340168142,3340168087,3340168146,3340170209,3340170012
128,3340175912,3340176381,3340176390,3340176400,3340176110,3340176468,3340176478,3340176482,3340176427,3340176486,3340178547,3340178352
128,3340184185,3340184654,3340184663,3340184673,3340184384,3340184743,3340184753,3340184757,3340184700,3340184761,3340186825,3340186629
128,3340192447,3340192914,3340192923,3340192932,3340192645,3340193002,3340193012,3340193016,3340192960,3340193020,3340195085,3340194889
128,3340200787,3340201256,3340201265,3340201275,3340200985,3340201345,3340201355,3340201359,3340201302,3340201363,3340203426,3340203229
128,3340209050,3340209518,3340209527,3340209537,3340209249,3340209606,3340209616,3340209620,3340209564,3340209624,3340211685,3340211489
128,3340217312,3340217781,3340217790,3340217799,3340217510,3340217869,3340217879,3340217883,3340217827,3340217887,3340219947,3340219752
128,3340225654,3340226124,3340226133,3340226143,3340225852,3340226212,3340226221,3340226225,3340226170,3340226229,3340228291,3340228096
128,3340233918,3340234385,3340234394,3340234404,3340234116,3340234474,3340234483,3340234487,3340234431,3340234491,3340236555,3340236359
128,3340242259,3340242726,3340242735,3340242745,3340242457,3340242814,3340242824,3340242828,3340242772,3340242832,3340244896,3340244699
128,3340250521,3340250988,3340250997,3340251006,3340250719,3340251076,3340251085,3340251089,3340251034,3340251093,3340253158,3340252963
128,3340265993,3340266472,3340266481,3340266491,3340266192,3340266560,3340266570,3340266574,3340266518,3340266578,3340268639,3340268444
128,3340274288,3340274755,3340274764,3340274774,3340274486,3340274843,3340274853,3340274857,3340274801,3340274861,3340276926,3340276730
128,3340282550,3340283017,3340283026,3340283036,3340282747,3340283106,3340283115,3340283119,3340283063,3340283123,3340285185,3340284989
128,3340290906,3340291375,3340291384,3340291394,3340291105,3340291463,3340291473,3340291477,3340291421,3340291481,3340293544,3340293348
128,3340299170,3340299639,3340299648,3340299658,3340299369,3340299727,3340299737,3340299741,3340299685,3340299745,3340301810,3340301614
128,3340307524,3340307992,3340308001,3340308011,3340307723,3340308080,3340308089,3340308093,3340308038,3340308097,3340310161,3340309966
128,3340315803,3340316274,3340316283,3340316293,3340316002,3340316362,3340316371,3340316375,3340316320,3340316379,3340318442,3340318246
128,3340324111,3340324581,3340324590,3340324599,3340324310,3340324668,3340324678,3340324682,3340324627,3340324686,3340326747,3340326552
128,3340332464,3340332930,3340332939,3340332949,3340332661,3340333019,3340333028,3340333032,3340332976,3340333036,3340335100,3340334904
