Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
470,470,0,5007c00000008100,11,05,4,0000005f0cbcd60a,1,0
471,471,0,5003c00000008200,11,05,4,0000005f0cbcd620,1,0
472,472,0,5003c00000008300,11,05,4,0000005f0cbcd636,1,0
473,473,0,5047c00000008400,11,05,4,0000005f0cbcd64c,1,0
474,474,0,0007e00000008100,11,05,2,0000005f0cbcd65a,1,0
475,475,0,5043c00000008500,11,05,4,0000005f0cbcd662,1,0
476,476,0,0007e00000008200,11,05,2,0000005f0cbcd671,1,0
477,477,0,5047c00000008600,11,05,4,0000005f0cbcd678,1,0
478,478,0,0007e00000008300,11,05,2,0000005f0cbcd688,1,0
479,479,0,0007e00000008400,11,05,2,0000005f0cbcd69d,1,0
480,480,0,0007e00000008500,11,05,2,0000005f0cbcd6b3,1,0
481,481,0,0007e00000008600,11,05,2,0000005f0cbcd6c8,1,0
482,482,0,5803e40000008000,01,09,5,0000005f0cbcd71c,1,0
483,483,0,1803e00000008000,11,05,2,0000005f0cbcd768,1,0
484,484,0,0003e00000000000,01,07,0,0000005f0cbd26bc,1,0
485,485,0,4803c00000000000,11,05,4,0000005f0cbd2793,1,0
486,486,0,7003e40000000000,01,09,5,0000005f0cbd2985,1,0
487,487,0,2000200000000000,01,0b,1,0000005f0cbd29c5,1,0
488,488,0,0003e00000000000,01,07,0,0000005f0cbd2b7a,1,0
489,489,0,4803c00000000000,11,05,4,0000005f0cbd2c7c,1,0
490,490,0,7003e40000000000,01,09,5,0000005f0cbd2e52,1,0
491,491,0,2000200000000000,01,0b,1,0000005f0cbd2e95,1,0
492,492,0,0003e00000000000,01,07,0,0000005f0cbd3049,1,0
493,493,0,4803c00000000000,11,05,4,0000005f0cbd314c,1,0
494,494,0,7003e40000000000,01,09,5,0000005f0cbd332a,1,0
495,495,0,2000200000000000,01,0b,1,0000005f0cbd336b,1,0
496,496,0,2800300000008100,01,07,0,0000005f0cbd585d,1,0
497,497,0,2804300000008200,01,07,0,0000005f0cbd585f,1,0
498,498,0,2800300000008300,01,07,0,0000005f0cbd5861,1,0
499,499,0,2844300000008400,01,07,0,0000005f0cbd5863,1,0
500,500,0,2840300000008500,01,07,0,0000005f0cbd5865,1,0
501,501,0,2840300000008600,01,07,0,0000005f0cbd5867,1,0
502,502,0,5003c00000008100,11,05,4,0000005f0cbd58a9,1,0
503,503,0,5007c00000008200,11,05,4,0000005f0cbd58bf,1,0
504,504,0,5003c00000008300,11,05,4,0000005f0cbd58d5,1,0
505,505,0,5047c00000008400,11,05,4,0000005f0cbd58eb,1,0
506,506,0,0007e00000008100,11,05,2,0000005f0cbd58fb,1,0
507,507,0,5043c00000008500,11,05,4,0000005f0cbd5901,1,0
508,508,0,0007e00000008200,11,05,2,0000005f0cbd5911,1,0
509,509,0,5043c00000008600,11,05,4,0000005f0cbd5917,1,0
510,510,0,0007e00000008300,11,05,2,0000005f0cbd5925,1,0
511,511,0,0007e00000008400,11,05,2,0000005f0cbd593c,1,0
512,512,0,0007e00000008500,11,05,2,0000005f0cbd5953,1,0
513,513,0,0007e00000008600,11,05,2,0000005f0cbd5969,1,0
514,514,0,0003e00000008000,01,07,0,0000005f0cbd5972,1,0
515,515,0,4803c00000008000,11,05,4,0000005f0cbd5ac2,1,0
516,516,0,3803e00000008000,01,07,0,0000005f0cbd5d0c,1,0
517,517,0,2800300000008100,01,07,0,0000005f0cbd5d1a,1,0
518,518,0,2800300000008200,01,07,0,0000005f0cbd5d1c,1,0
519,519,0,2804300000008300,01,07,0,0000005f0cbd5d1e,1,0
520,520,0,2840300000008400,01,07,0,0000005f0cbd5d20,1,0
521,521,0,2844300000008500,01,07,0,0000005f0cbd5d22,1,0
522,522,0,2844300000008600,01,07,0,0000005f0cbd5d24,1,0
523,523,0,5000000000008000,01,0b,3,0000005f0cbd5d26,1,0
524,524,0,5003c00000008100,11,05,4,0000005f0cbd5d66,1,0
525,525,0,5003c00000008200,11,05,4,0000005f0cbd5d7f,1,0
526,526,0,5007c00000008300,11,05,4,0000005f0cbd5d95,1,0
527,527,0,5043c00000008400,11,05,4,0000005f0cbd5dab,1,0
528,528,0,0007e00000008100,11,05,2,0000005f0cbd5db7,1,0
529,529,0,0000000000000000,00,00,0,0000000000000000,1,0
530,530,0,0000000000000000,00,00,0,0000000000000000,1,0
531,531,0,0000000000000000,00,00,0,0000000000000000,1,0
532,532,0,0000000000000000,00,00,0,0000000000000000,1,0
533,533,0,0000000000000000,00,00,0,0000000000000000,1,0
534,534,0,0000000000000000,00,00,0,0000000000000000,1,0
535,535,0,0000000000000000,00,00,0,0000000000000000,1,0
536,536,0,0000000000000000,00,00,0,0000000000000000,1,0
537,537,0,0000000000000000,00,00,0,0000000000000000,1,0
538,538,0,0000000000000000,00,00,0,0000000000000000,1,0
539,539,0,0000000000000000,00,00,0,0000000000000000,1,0
540,540,0,0000000000000000,00,00,0,0000000000000000,1,0
541,541,0,0000000000000000,00,00,0,0000000000000000,1,0
542,542,0,0000000000000000,00,00,0,0000000000000000,1,0
543,543,0,0000000000000000,00,00,0,0000000000000000,1,0
544,544,0,0000000000000000,00,00,0,0000000000000000,1,0
545,545,0,0000000000000000,00,00,0,0000000000000000,1,0
546,546,0,0000000000000000,00,00,0,0000000000000000,1,0
547,547,0,0000000000000000,00,00,0,0000000000000000,1,0
548,548,0,0000000000000000,00,00,0,0000000000000000,1,0
549,549,0,0000000000000000,00,00,0,0000000000000000,1,0
550,550,0,0000000000000000,00,00,0,0000000000000000,1,0
551,551,0,0000000000000000,00,00,0,0000000000000000,1,0
552,552,0,0000000000000000,00,00,0,0000000000000000,1,0
553,553,0,0000000000000000,00,00,0,0000000000000000,1,0
554,554,0,0000000000000000,00,00,0,0000000000000000,1,0
555,555,0,0000000000000000,00,00,0,0000000000000000,1,0
556,556,0,0000000000000000,00,00,0,0000000000000000,1,0
557,557,0,0000000000000000,00,00,0,0000000000000000,1,0
558,558,0,0000000000000000,00,00,0,0000000000000000,1,0
559,559,0,0000000000000000,00,00,0,0000000000000000,1,0
560,560,0,0000000000000000,00,00,0,0000000000000000,1,0
561,561,0,0000000000000000,00,00,0,0000000000000000,1,0
562,562,0,0000000000000000,00,00,0,0000000000000000,1,0
563,563,0,0000000000000000,00,00,0,0000000000000000,1,0
564,564,0,0000000000000000,00,00,0,0000000000000000,1,0
565,565,0,0000000000000000,00,00,0,0000000000000000,1,0
566,566,0,0000000000000000,00,00,0,0000000000000000,1,0
567,567,0,0000000000000000,00,00,0,0000000000000000,1,0
568,568,0,0000000000000000,00,00,0,0000000000000000,1,0
569,569,0,0000000000000000,00,00,0,0000000000000000,1,0
570,570,0,0000000000000000,00,00,0,0000000000000000,1,0
571,571,0,0000000000000000,00,00,0,0000000000000000,1,0
572,572,0,0000000000000000,00,00,0,0000000000000000,1,0
573,573,0,0000000000000000,00,00,0,0000000000000000,1,0
