index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
490,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579839974,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
491,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579839978,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
492,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,93579841112,0x0000008680,,,,15,,,1,,17,0,0x0000008680,6,,,0,4,0,
493,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,93579841114,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
494,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579841116,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
495,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,93579841118,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
496,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579841120,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
497,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,93579841122,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
498,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,93579841285,,269,269,0,15,0,,,0,17,4,,4,0,0,,0,,0
499,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,93579841321,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
500,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,93579841356,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
501,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,93579841392,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
502,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,93579841427,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
503,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,93579841463,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
504,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,93579841547,0x0000008080,,,,15,,,1,,0,0,0x0000008080,6,,,0,0,0,
505,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579842092,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
506,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579842095,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
