index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
481,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,58076198856,0x0000008100,,,,0,,,1,,0,0,0x0000008100,7,,,0,4,0,
482,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,58076198858,0x0000008300,,,,0,,,1,,0,0,0x0000008300,7,,,0,4,0,
483,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,58076198860,0x0000008200,,,,0,,,1,,1,0,0x0000008200,7,,,0,4,0,
484,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,58076198862,0x0000008400,,,,0,,,1,,16,0,0x0000008400,7,,,0,4,0,
485,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,58076198864,0x0000008500,,,,0,,,1,,17,0,0x0000008500,7,,,0,4,0,
486,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,58076198866,0x0000008600,,,,0,,,1,,16,0,0x0000008600,7,,,0,4,0,
487,0x5000000000008000,10,ECI_CMD_MRSP_PEMD,58076198868,,256,256,0,0,0,,,0,0,3,,11,0,0,,0,,0
488,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,58076198943,,258,258,0,15,0,,,0,0,4,,5,0,0,,0,,0
489,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,58076198965,,262,262,0,15,0,,,0,0,4,,5,0,0,,0,,0
490,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,58076198987,,260,260,0,15,0,,,0,1,4,,5,0,0,,0,,0
491,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,58076199009,,264,264,0,15,0,,,0,16,4,,5,0,0,,0,,0
492,0x5047c00000008500,10,ECI_CMD_MRSP_PEMD,58076199031,,266,266,0,15,0,,,0,17,4,,5,0,0,,0,,0
493,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,58076199053,,268,268,0,15,0,,,0,16,4,,5,0,0,,0,,0
494,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,58076199270,0x0000008000,,,,15,,0,1,,,2,0x0000008000,5,,,,0,,0
495,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,58076199465,0x0000008100,,,,15,,2,1,,,2,0x0000008100,5,,,,0,,0
496,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,58076199469,0x0000008200,,,,15,,4,1,,,2,0x0000008200,5,,,,0,,0
497,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,58076199473,0x0000008300,,,,15,,6,1,,,2,0x0000008300,5,,,,0,,0
498,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,58076199477,0x0000008400,,,,15,,8,1,,,2,0x0000008400,5,,,,0,,0
499,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,58076199481,0x0000008500,,,,15,,10,1,,,2,0x0000008500,5,,,,0,,0
500,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,58076199485,0x0000008600,,,,15,,12,1,,,2,0x0000008600,5,,,,0,,0
501,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,58076200199,0x0000008100,,,,0,,,1,,0,0,0x0000008100,7,,,0,4,0,
502,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,58076200201,0x0000008200,,,,0,,,1,,0,0,0x0000008200,7,,,0,4,0,
503,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,58076200203,0x0000008300,,,,0,,,1,,1,0,0x0000008300,7,,,0,4,0,
504,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,58076200205,0x0000008400,,,,0,,,1,,16,0,0x0000008400,7,,,0,4,0,
505,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,58076200207,0x0000008600,,,,0,,,1,,16,0,0x0000008600,7,,,0,4,0,
