Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
175,175,0,180be00000008100,11,05,2,0000000d859cae0d,1,0
176,176,0,1813e00000008200,11,05,2,0000000d859cae11,1,0
177,177,0,181be00000008300,11,05,2,0000000d859cae15,1,0
178,178,0,1823e00000008400,11,05,2,0000000d859cae19,1,0
179,179,0,182be00000008500,11,05,2,0000000d859cae1d,1,0
180,180,0,1833e00000008600,11,05,2,0000000d859cae21,1,0
181,181,0,4803c00000008000,11,05,4,0000000d859caf1b,1,0
182,182,0,0003e00000000000,01,07,0,0000000d859caf81,1,0
183,183,0,4803c00000000000,11,05,4,0000000d859cb080,1,0
184,184,0,3803e00000008000,01,07,0,0000000d859cb19a,1,0
185,185,0,2800300000008100,01,07,0,0000000d859cb1a8,1,0
186,186,0,2800300000008200,01,07,0,0000000d859cb1aa,1,0
187,187,0,2804300000008300,01,07,0,0000000d859cb1ac,1,0
188,188,0,2844300000008400,01,07,0,0000000d859cb1ae,1,0
189,189,0,2840300000008600,01,07,0,0000000d859cb1b0,1,0
190,190,0,2844300000008500,01,07,0,0000000d859cb1b2,1,0
191,191,0,5000000000008000,01,0b,3,0000000d859cb1b4,1,0
192,192,0,5003c00000008100,11,05,4,0000000d859cb1ff,1,0
193,193,0,5003c00000008200,11,05,4,0000000d859cb215,1,0
194,194,0,5007c00000008300,11,05,4,0000000d859cb22b,1,0
195,195,0,5047c00000008400,11,05,4,0000000d859cb241,1,0
196,196,0,5043c00000008600,11,05,4,0000000d859cb257,1,0
197,197,0,5047c00000008500,11,05,4,0000000d859cb26d,1,0
198,198,0,1803e00000008000,11,05,2,0000000d859cb34e,1,0
199,199,0,180be00000008100,11,05,2,0000000d859cb412,1,0
200,200,0,1813e00000008200,11,05,2,0000000d859cb416,1,0
201,201,0,181be00000008300,11,05,2,0000000d859cb41a,1,0
202,202,0,1823e00000008400,11,05,2,0000000d859cb41e,1,0
203,203,0,182be00000008500,11,05,2,0000000d859cb422,1,0
204,204,0,1833e00000008600,11,05,2,0000000d859cb426,1,0
205,205,0,2000200000000000,01,0b,1,0000000d859cb63f,1,0
206,206,0,2804300000008100,01,07,0,0000000d859cb7b7,1,0
207,207,0,2804300000008200,01,07,0,0000000d859cb7b9,1,0
208,208,0,2800300000008300,01,07,0,0000000d859cb7bb,1,0
