Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
230,230,0,181fe00000008380,11,04,2,0000000d859c7510,1,0
231,231,0,1827e00000008480,11,04,2,0000000d859c7514,1,0
232,232,0,182fe00000008580,11,04,2,0000000d859c7518,1,0
233,233,0,1837e00000008680,11,04,2,0000000d859c751c,1,0
234,234,0,2843f00000008680,01,06,0,0000000d859c77c8,1,0
235,235,0,2800300000008280,01,06,0,0000000d859c77ca,1,0
236,236,0,2800300000008180,01,06,0,0000000d859c77cc,1,0
237,237,0,2800300000008380,01,06,0,0000000d859c77ce,1,0
238,238,0,2840300000008480,01,06,0,0000000d859c77d0,1,0
239,239,0,2844300000008580,01,06,0,0000000d859c77d2,1,0
240,240,0,5043c00000008680,11,04,4,0000000d859c7816,1,0
241,241,0,5003c00000008280,11,04,4,0000000d859c782c,1,0
242,242,0,5003c00000008180,11,04,4,0000000d859c7842,1,0
243,243,0,5003c00000008380,11,04,4,0000000d859c7858,1,0
244,244,0,5043c00000008480,11,04,4,0000000d859c786e,1,0
245,245,0,5047c00000008580,11,04,4,0000000d859c7884,1,0
246,246,0,0007e00000008080,01,06,0,0000000d859c78d4,1,0
247,247,0,180fe00000008180,11,04,2,0000000d859c7a27,1,0
248,248,0,1817e00000008280,11,04,2,0000000d859c7a2b,1,0
249,249,0,181fe00000008380,11,04,2,0000000d859c7a2f,1,0
250,250,0,1827e00000008480,11,04,2,0000000d859c7a33,1,0
251,251,0,182fe00000008580,11,04,2,0000000d859c7a37,1,0
252,252,0,1837e00000008680,11,04,2,0000000d859c7a3b,1,0
253,253,0,4807c00000008080,11,04,4,0000000d859c7b3a,1,0
254,254,0,3807e00000008080,01,06,0,0000000d859c7cfa,1,0
255,255,0,2843f00000008680,01,06,0,0000000d859c7d07,1,0
256,256,0,2800300000008180,01,06,0,0000000d859c7d09,1,0
257,257,0,2800300000008280,01,06,0,0000000d859c7d0b,1,0
258,258,0,2804300000008380,01,06,0,0000000d859c7d0d,1,0
259,259,0,2844300000008480,01,06,0,0000000d859c7d0f,1,0
260,260,0,2844300000008580,01,06,0,0000000d859c7d11,1,0
261,261,0,5004000000008080,01,0a,3,0000000d859c7d13,1,0
262,262,0,5043c00000008680,11,04,4,0000000d859c7d60,1,0
263,263,0,5003c00000008180,11,04,4,0000000d859c7d76,1,0
264,264,0,5003c00000008280,11,04,4,0000000d859c7d8c,1,0
265,265,0,5007c00000008380,11,04,4,0000000d859c7da2,1,0
266,266,0,5047c00000008480,11,04,4,0000000d859c7db8,1,0
267,267,0,5047c00000008580,11,04,4,0000000d859c7dce,1,0
268,268,0,1807e00000008080,11,04,2,0000000d859c7eab,1,0
269,269,0,180fe00000008180,11,04,2,0000000d859c7f72,1,0
270,270,0,1817e00000008280,11,04,2,0000000d859c7f76,1,0
271,271,0,181fe00000008380,11,04,2,0000000d859c7f7a,1,0
272,272,0,1827e00000008480,11,04,2,0000000d859c7f7e,1,0
273,273,0,182fe00000008580,11,04,2,0000000d859c7f82,1,0
274,274,0,1837e00000008680,11,04,2,0000000d859c7f86,1,0
275,275,0,2843f00000008680,01,06,0,0000000d859c8249,1,0
276,276,0,2804300000008180,01,06,0,0000000d859c824c,1,0
277,277,0,2800300000008280,01,06,0,0000000d859c824e,1,0
278,278,0,2804300000008380,01,06,0,0000000d859c8250,1,0
279,279,0,2840300000008480,01,06,0,0000000d859c8252,1,0
280,280,0,2840300000008580,01,06,0,0000000d859c8254,1,0
281,281,0,5043c00000008680,11,04,4,0000000d859c8297,1,0
282,282,0,5007c00000008180,11,04,4,0000000d859c82ad,1,0
283,283,0,5003c00000008280,11,04,4,0000000d859c82c3,1,0
284,284,0,5007c00000008380,11,04,4,0000000d859c82d9,1,0
285,285,0,5043c00000008480,11,04,4,0000000d859c82ef,1,0
286,286,0,5043c00000008580,11,04,4,0000000d859c8305,1,0
287,287,0,0003e00000008080,01,06,0,0000000d859c8355,1,0
288,288,0,180fe00000008180,11,04,2,0000000d859c84a7,1,0
289,289,0,1817e00000008280,11,04,2,0000000d859c84ab,1,0
290,290,0,181fe00000008380,11,04,2,0000000d859c84af,1,0
291,291,0,1827e00000008480,11,04,2,0000000d859c84b3,1,0
292,292,0,182fe00000008580,11,04,2,0000000d859c84b7,1,0
293,293,0,1837e00000008680,11,04,2,0000000d859c84bb,1,0
294,294,0,4803c00000008080,11,04,4,0000000d859c85ba,1,0
295,295,0,3803e00000008080,01,06,0,0000000d859c8768,1,0
296,296,0,2847f00000008680,01,06,0,0000000d859c8774,1,0
297,297,0,2800300000008180,01,06,0,0000000d859c8776,1,0
298,298,0,2804300000008280,01,06,0,0000000d859c8778,1,0
299,299,0,2800300000008380,01,06,0,0000000d859c877a,1,0
300,300,0,2844300000008480,01,06,0,0000000d859c877c,1,0
301,301,0,2840300000008580,01,06,0,0000000d859c877e,1,0
302,302,0,5000000000008080,01,0a,3,0000000d859c8780,1,0
303,303,0,5047c00000008680,11,04,4,0000000d859c87cd,1,0
304,304,0,5003c00000008180,11,04,4,0000000d859c87e3,1,0
305,305,0,5007c00000008280,11,04,4,0000000d859c87f9,1,0
306,306,0,5003c00000008380,11,04,4,0000000d859c880f,1,0
307,307,0,5047c00000008480,11,04,4,0000000d859c8825,1,0
308,308,0,5043c00000008580,11,04,4,0000000d859c883b,1,0
309,309,0,1807e00000008080,11,04,2,0000000d859c8916,1,0
310,310,0,180fe00000008180,11,04,2,0000000d859c89dc,1,0
311,311,0,1817e00000008280,11,04,2,0000000d859c89e0,1,0
312,312,0,181fe00000008380,11,04,2,0000000d859c89e4,1,0
313,313,0,1827e00000008480,11,04,2,0000000d859c89e8,1,0
314,314,0,182fe00000008580,11,04,2,0000000d859c89ec,1,0
315,315,0,1837e00000008680,11,04,2,0000000d859c89f0,1,0
316,316,0,2004200000000080,01,0a,1,0000000d859c8bd8,1,0
317,317,0,2847f00000008680,01,06,0,0000000d859c8d4e,1,0
318,318,0,2800300000008180,01,06,0,0000000d859c8d50,1,0
319,319,0,2804300000008280,01,06,0,0000000d859c8d52,1,0
320,320,0,2800300000008380,01,06,0,0000000d859c8d54,1,0
321,321,0,2840300000008480,01,06,0,0000000d859c8d56,1,0
322,322,0,2844300000008580,01,06,0,0000000d859c8d58,1,0
323,323,0,5047c00000008680,11,04,4,0000000d859c8d9c,1,0
324,324,0,5003c00000008180,11,04,4,0000000d859c8db2,1,0
325,325,0,5007c00000008280,11,04,4,0000000d859c8dc8,1,0
326,326,0,5003c00000008380,11,04,4,0000000d859c8dde,1,0
