Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
286,286,0,5007c00000008280,11,04,4,000000344a1d0115,1,0
287,287,0,5003c00000008380,11,04,4,000000344a1d0139,1,0
288,288,0,0007e00000008180,11,04,2,000000344a1d0143,1,0
289,289,0,5043c00000008480,11,04,4,000000344a1d015c,1,0
290,290,0,0007e00000008280,11,04,2,000000344a1d0164,1,0
291,291,0,5043c00000008580,11,04,4,000000344a1d0180,1,0
292,292,0,0007e00000008380,11,04,2,000000344a1d018a,1,0
293,293,0,5043c00000008680,11,04,4,000000344a1d01a3,1,0
294,294,0,0007e00000008480,11,04,2,000000344a1d01ae,1,0
295,295,0,0007e00000008580,11,04,2,000000344a1d01d2,1,0
296,296,0,0007e00000008080,01,06,0,000000344a1d01f3,1,0
297,297,0,0007e00000008680,11,04,2,000000344a1d01f5,1,0
298,298,0,4807c00000008080,11,04,4,000000344a1d043e,1,0
299,299,0,3803e00000008080,01,06,0,000000344a1d06a1,1,0
300,300,0,2804300000008180,01,06,0,000000344a1d06b5,1,0
301,301,0,2804300000008280,01,06,0,000000344a1d06b8,1,0
302,302,0,2804300000008380,01,06,0,000000344a1d06bb,1,0
303,303,0,2840300000008480,01,06,0,000000344a1d06be,1,0
304,304,0,2840300000008580,01,06,0,000000344a1d06c1,1,0
305,305,0,2843f00000008680,01,06,0,000000344a1d06c4,1,0
306,306,0,5000000000008080,01,0a,3,000000344a1d06f2,1,0
307,307,0,5007c00000008180,11,04,4,000000344a1d0774,1,0
308,308,0,5007c00000008280,11,04,4,000000344a1d0797,1,0
309,309,0,5007c00000008380,11,04,4,000000344a1d07bb,1,0
310,310,0,0007e00000008180,11,04,2,000000344a1d07c5,1,0
311,311,0,5043c00000008480,11,04,4,000000344a1d07de,1,0
312,312,0,0007e00000008280,11,04,2,000000344a1d07e8,1,0
313,313,0,5043c00000008580,11,04,4,000000344a1d0802,1,0
314,314,0,0007e00000008380,11,04,2,000000344a1d080a,1,0
315,315,0,5043c00000008680,11,04,4,000000344a1d0825,1,0
316,316,0,0007e00000008480,11,04,2,000000344a1d082d,1,0
317,317,0,0007e00000008580,11,04,2,000000344a1d0854,1,0
318,318,0,0007e00000008680,11,04,2,000000344a1d0877,1,0
319,319,0,5807e40000008080,01,08,5,000000344a1d090c,1,0
320,320,0,1807e00000008080,11,04,2,000000344a1d095b,1,0
321,321,0,2800300000008180,01,06,0,000000344a1d0d38,1,0
322,322,0,2804300000008280,01,06,0,000000344a1d0d3b,1,0
323,323,0,2800300000008380,01,06,0,000000344a1d0d3e,1,0
324,324,0,2840300000008480,01,06,0,000000344a1d0d42,1,0
325,325,0,2840300000008580,01,06,0,000000344a1d0d45,1,0
326,326,0,2843f00000008680,01,06,0,000000344a1d0d48,1,0
327,327,0,5003c00000008180,11,04,4,000000344a1d0df6,1,0
328,328,0,5007c00000008280,11,04,4,000000344a1d0e1a,1,0
329,329,0,5003c00000008380,11,04,4,000000344a1d0e3d,1,0
330,330,0,0007e00000008180,11,04,2,000000344a1d0e47,1,0
331,331,0,5043c00000008480,11,04,4,000000344a1d0e61,1,0
332,332,0,0007e00000008280,11,04,2,000000344a1d0e6c,1,0
333,333,0,5043c00000008580,11,04,4,000000344a1d0e84,1,0
334,334,0,0007e00000008380,11,04,2,000000344a1d0e8e,1,0
335,335,0,5043c00000008680,11,04,4,000000344a1d0ea7,1,0
336,336,0,0007e00000008480,11,04,2,000000344a1d0eb2,1,0
