Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
211,211,0,0007e00000008600,11,05,2,000000207381976b,1,0
212,212,0,5803e40000008000,01,09,5,00000020738197be,1,0
213,213,0,1803e00000008000,11,05,2,000000207381980a,1,0
214,214,0,2804300000008100,01,07,0,0000002073819a81,1,0
215,215,0,2800300000008200,01,07,0,0000002073819a83,1,0
216,216,0,2800300000008300,01,07,0,0000002073819a85,1,0
217,217,0,2844300000008400,01,07,0,0000002073819a87,1,0
218,218,0,2844300000008500,01,07,0,0000002073819a89,1,0
219,219,0,2844300000008600,01,07,0,0000002073819a8b,1,0
220,220,0,5007c00000008100,11,05,4,0000002073819acd,1,0
221,221,0,5003c00000008200,11,05,4,0000002073819ae3,1,0
222,222,0,5003c00000008300,11,05,4,0000002073819af9,1,0
223,223,0,5047c00000008400,11,05,4,0000002073819b0f,1,0
224,224,0,0007e00000008100,11,05,2,0000002073819b1f,1,0
225,225,0,5047c00000008500,11,05,4,0000002073819b25,1,0
226,226,0,0007e00000008200,11,05,2,0000002073819b34,1,0
227,227,0,5047c00000008600,11,05,4,0000002073819b3b,1,0
228,228,0,0007e00000008300,11,05,2,0000002073819b4b,1,0
229,229,0,0007e00000008400,11,05,2,0000002073819b62,1,0
230,230,0,0007e00000008500,11,05,2,0000002073819b77,1,0
231,231,0,0007e00000008600,11,05,2,0000002073819b8d,1,0
232,232,0,2800300000008300,01,07,0,0000002073809515,1,0
233,233,0,2840300000008400,01,07,0,0000002073809517,1,0
