size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
4224,254963397,254963648,254963789,254963852,254962461,254963949,254964027,254964033,254963790,254964037,254963791,254968384
4224,255135263,255135514,255135655,255135719,255134480,255135815,255135893,255135899,255135655,255135903,255135656,255140221
4224,255308725,255308976,255309117,255309183,255307836,255309277,255309354,255309360,255309118,255309364,255309119,255313700
4224,255478952,255479203,255479344,255479408,255478165,255479506,255479583,255479589,255479345,255479593,255479346,255483921
4224,255649021,255649271,255649412,255649475,255648244,255649572,255649650,255649656,255649412,255649660,255649413,255653990
4224,255819042,255819293,255819434,255819497,255818283,255819594,255819672,255819678,255819434,255819682,255819435,255823997
4224,255989005,255989256,255989397,255989461,255988247,255989559,255989636,255989642,255989398,255989646,255989399,255993946
4224,256158961,256159212,256159353,256159417,256158186,256159514,256159592,256159598,256159353,256159602,256159354,256163911
4224,256332508,256332758,256332899,256332963,256331639,256333061,256333138,256333144,256332900,256333148,256332901,256337476
4224,256502795,256503047,256503188,256503251,256501983,256503349,256503427,256503433,256503189,256503437,256503190,256507745
4224,256672887,256673137,256673278,256673341,256672116,256673439,256673517,256673523,256673279,256673527,256673280,256677822
4224,256842895,256843146,256843287,256843350,256842128,256843447,256843525,256843531,256843288,256843535,256843289,256847846
4224,257012860,257013111,257013252,257013317,257012092,257013412,257013489,257013495,257013253,257013499,257013254,257017797
4224,257182841,257183093,257183234,257183298,257182066,257183395,257183472,257183478,257183234,257183482,257183235,257191094
4224,257356482,257356733,257356874,257356937,257355695,257357035,257357112,257357118,257356875,257357122,257356876,257361434
4224,257526603,257526854,257526995,257527061,257525802,257527155,257527233,257527239,257526997,257527243,257526998,257531563
4224,257696663,257696914,257697055,257697118,257695894,257697216,257697293,257697299,257697056,257697303,257697057,257701606
4224,257866718,257866970,257867111,257867174,257865927,257867272,257867350,257867356,257867111,257867360,257867112,257871667
4224,258036776,258037028,258037169,258037233,258036015,258037330,258037407,258037413,258037172,258037417,258037173,258041729
4224,258210110,258210361,258210502,258210565,258209291,258210663,258210741,258210747,258210501,258210751,258210502,258215094
4224,258380349,258380600,258380741,258380804,258379580,258380902,258380980,258380986,258380742,258380990,258380743,258385317
4224,258550381,258550632,258550773,258550836,258549613,258550934,258551012,258551018,258550772,258551022,258550773,258555335
4224,258720352,258720604,258720745,258720808,258719597,258720906,258720983,258720989,258720747,258720993,258720748,258725308
4224,258890321,258890571,258890712,258890775,258889554,258890872,258890950,258890956,258890714,258890960,258890715,258895271
4224,259060296,259060546,259060687,259060753,259059520,259060847,259060924,259060930,259060688,259060934,259060689,259065242
4224,259233777,259234028,259234169,259234232,259232971,259234329,259234407,259234413,259234170,259234417,259234171,259238759
4224,259404050,259404304,259404445,259404511,259403272,259404605,259404682,259404688,259404447,259404692,259404448,259409025
4224,259574146,259574399,259574540,259574603,259573370,259574700,259574778,259574784,259574540,259574788,259574541,259579096
4224,259744132,259744388,259744529,259744592,259743372,259744689,259744767,259744773,259744531,259744777,259744532,259749083
4224,259914093,259914343,259914484,259914547,259913336,259914645,259914723,259914729,259914485,259914733,259914486,259919030
4224,260084033,260084284,260084425,260084488,260083271,260084586,260084664,260084670,260084426,260084674,260084427,260088969
4224,260257469,260257720,260257861,260257924,260256646,260258022,260258099,260258105,260257859,260258109,260257860,260262442
4224,260427749,260428000,260428141,260428206,260426964,260428301,260428379,260428385,260428142,260428389,260428143,260432708
4224,260607774,260608025,260608166,260608229,260606822,260608326,260608404,260608410,260608166,260608414,260608167,260612770
4224,260778072,260778323,260778464,260778527,260777254,260778624,260778702,260778708,260778464,260778712,260778465,260783037
4224,260948164,260948415,260948556,260948619,260947386,260948717,260948794,260948800,260948556,260948804,260948557,260953131
4224,261118259,261118510,261118651,261118714,261117476,261118812,261118890,261118896,261118653,261118900,261118654,261123216
4224,261291936,261292187,261292328,261292391,261291083,261292489,261292567,261292573,261292329,261292577,261292330,261296922
4224,261462236,261462487,261462628,261462694,261461438,261462788,261462866,261462872,261462629,261462876,261462630,261467197
4224,261632331,261632582,261632723,261632786,261631551,261632883,261632961,261632967,261632724,261632971,261632725,261637274
4224,261802361,261802612,261802753,261802819,261801601,261802913,261802991,261802997,261802752,261803001,261802753,261807313
4224,261972339,261972591,261972732,261972795,261971586,261972893,261972971,261972977,261972732,261972981,261972733,261977294
4224,262142373,262142625,262142766,262142829,262141615,262142927,262143005,262143011,262142767,262143015,262142768,262147313
4224,262315798,262316049,262316190,262316255,262314941,262316350,262316428,262316434,262316190,262316438,262316191,262320759
4224,262486100,262486351,262486492,262486555,262485311,262486653,262486730,262486736,262486493,262486740,262486494,262491055
4224,262656217,262656468,262656609,262656673,262655445,262656771,262656848,262656854,262656608,262656858,262656609,262661171
4224,262826262,262826512,262826653,262826718,262825499,262826813,262826890,262826896,262826654,262826900,262826655,262831196
4224,262996294,262996545,262996686,262996751,262995519,262996846,262996924,262996930,262996687,262996934,262996688,263001232
4224,263166306,263166559,263166700,263166764,263165537,263166862,263166939,263166945,263166700,263166949,263166701,263171257
4224,263339680,263339932,263340073,263340136,263338789,263340234,263340312,263340318,263340074,263340322,263340075,263344649
4288,263515329,263515581,263515724,263515788,263514502,263515886,263515965,263515971,263515723,263515975,263515724,263520292
4288,263689452,263689703,263689846,263689910,263688654,263690008,263690087,263690093,263689844,263690097,263689845,263694389
4288,263861853,263862103,263862246,263862310,263861085,263862408,263862487,263862493,263862246,263862497,263862247,263866779
4288,264034223,264034474,264034617,264034681,264033458,264034779,264034858,264034864,264034615,264034868,264034616,264039155
4288,264210015,264210266,264210409,264210473,264209217,264210572,264210650,264210656,264210406,264210660,264210407,264214980
4288,264382697,264382947,264383090,264383154,264381923,264383252,264383331,264383337,264383090,264383341,264383091,264387645
4288,264555228,264555479,264555622,264555688,264554456,264555783,264555862,264555868,264555621,264555872,264555622,264560187
4288,264727731,264727982,264728125,264728189,264726962,264728287,264728366,264728372,264728122,264728376,264728123,264732675
4288,264900158,264900409,264900552,264900619,264899383,264900714,264900792,264900798,264900552,264900802,264900553,264905111
4288,265072586,265072836,265072979,265073043,265071822,265073142,265073221,265073227,265072978,265073231,265072979,265077524
4288,265248346,265248596,265248739,265248803,265247531,265248901,265248980,265248986,265248739,265248990,265248740,265253328
4288,265421044,265421295,265421438,265421502,265420255,265421600,265421679,265421685,265421439,265421689,265421440,265426022
4288,265593590,265593842,265593985,265594049,265592804,265594148,265594226,265594232,265593984,265594236,265593985,265598539
4288,265766042,265766293,265766436,265766500,265765267,265766599,265766678,265766684,265766435,265766688,265766436,265770992
4288,265938460,265938711,265938854,265938918,265937694,265939016,265939094,265939100,265938853,265939104,265938854,265943412
4288,266110891,266111141,266111284,266111348,266110138,266111446,266111525,266111531,266111282,266111535,266111283,266115849
4288,266294921,266295173,266295316,266295380,266293955,266295478,266295557,266295563,266295315,266295567,266295316,266299922
4288,266467651,266467901,266468044,266468109,266466856,266468205,266468284,266468290,266468043,266468294,266468044,266472613
4288,266640206,266640457,266640600,266640664,266639422,266640762,266640841,266640847,266640599,266640851,266640600,266645165
4288,266812725,266812976,266813119,266813183,266811948,266813282,266813361,266813367,266813117,266813371,266813118,266817687
4288,266985176,266985427,266985570,266985636,266984392,266985731,266985810,266985816,266985568,266985820,266985569,266990128
4288,267157599,267157850,267157993,267158057,267156841,267158156,267158235,267158241,267157992,267158245,267157993,267162567
4288,267333556,267333807,267333950,267334014,267332669,267334112,267334190,267334196,267333949,267334200,267333950,267338532
4288,267506277,267506527,267506670,267506734,267505472,267506833,267506912,267506918,267506668,267506922,267506669,267511244
4288,267678832,267679083,267679226,267679292,267678028,267679387,267679466,267679472,267679225,267679476,267679226,267683784
4288,267851317,267851569,267851712,267851776,267850552,267851875,267851954,267851960,267851710,267851964,267851711,267856265
4288,268023717,268023968,268024111,268024177,268022968,268024272,268024351,268024357,268024111,268024361,268024112,268028667
4288,268199550,268199801,268199944,268200008,268198755,268200106,268200185,268200191,268199941,268200195,268199942,268204530
4288,268372273,268372524,268372667,268372731,268371492,268372830,268372908,268372914,268372666,268372918,268372667,268377253
4288,268544812,268545063,268545206,268545270,268544025,268545369,268545448,268545454,268545205,268545458,268545206,268549773
4288,268717360,268717610,268717753,268717817,268716591,268717916,268717994,268718000,268717752,268718004,268717753,268722312
4288,268889801,268890052,268890195,268890259,268889037,268890358,268890437,268890443,268890194,268890447,268890195,268894757
4288,269062246,269062496,269062639,269062703,269061468,269062802,269062880,269062886,269062638,269062890,269062639,269067193
4288,269238219,269238470,269238613,269238677,269237398,269238776,269238855,269238861,269238610,269238865,269238611,269243220
4288,269410943,269411194,269411337,269411401,269410149,269411499,269411578,269411584,269411336,269411588,269411337,269415925
4288,269583509,269583760,269583903,269583967,269582725,269584066,269584145,269584151,269583902,269584155,269583903,269588474
4288,269755971,269756222,269756365,269756429,269755210,269756527,269756605,269756611,269756364,269756615,269756365,269760919
4288,269928394,269928645,269928788,269928852,269927642,269928951,269929030,269929036,269928785,269929040,269928786,269933348
4288,270100829,270101081,270101224,270101288,270100081,270101387,270101466,270101472,270101223,270101476,270101224,270105788
4288,270276914,270277165,270277308,270277372,270276070,270277471,270277549,270277555,270277307,270277559,270277308,270281892
4288,270449633,270449884,270450027,270450091,270448823,270450189,270450268,270450274,270450026,270450278,270450027,270454612
4288,270622183,270622434,270622577,270622641,270621409,270622739,270622818,270622824,270622576,270622828,270622577,270627122
4288,270794652,270794902,270795045,270795109,270793883,270795208,270795286,270795292,270795042,270795296,270795043,270799601
4288,270967093,270967345,270967488,270967554,270966332,270967649,270967728,270967734,270967486,270967738,270967487,270972044
4288,271139505,271139755,271139898,271139962,271138745,271140060,271140139,271140145,271139897,271140149,271139898,271144457
4288,271315330,271315583,271315726,271315790,271314493,271315888,271315967,271315973,271315724,271315977,271315725,271320311
4288,271488048,271488299,271488442,271488506,271487245,271488605,271488684,271488690,271488442,271488694,271488443,271493035
4288,271660612,271660863,271661006,271661070,271659825,271661168,271661247,271661253,271661004,271661257,271661005,271665572
4288,271833087,271833338,271833481,271833545,271832329,271833644,271833723,271833729,271833480,271833733,271833481,271838028
4288,272015376,272015628,272015771,272015835,272014426,272015933,272016012,272016018,272015769,272016022,272015770,272020374
4352,272196839,272197092,272197237,272197302,272195955,272197400,272197480,272197486,272197234,272197490,272197235,272201952
4352,272374013,272374264,272374409,272374474,272373189,272374573,272374653,272374659,272374405,272374663,272374406,272379111
4352,272549181,272549432,272549577,272549642,272548387,272549740,272549820,272549826,272549573,272549830,272549574,272554263
4352,272724246,272724496,272724641,272724706,272723460,272724804,272724884,272724890,272724638,272724894,272724639,272729311
4352,272899244,272899495,272899640,272899705,272898466,272899803,272899882,272899888,272899637,272899892,272899638,272904329
4352,273074229,273074480,273074625,273074692,273073446,273074787,273074868,273074874,273074622,273074878,273074623,273079305
4352,273252624,273252877,273253022,273253087,273251777,273253185,273253264,273253270,273253020,273253274,273253021,273257744
4352,273427891,273428142,273428287,273428352,273427087,273428450,273428530,273428536,273428283,273428540,273428284,273432991
4352,273603022,273603273,273603418,273603485,273602201,273603580,273603661,273603667,273603415,273603671,273603416,273608114
4352,273778119,273778370,273778515,273778580,273777330,273778678,273778758,273778764,273778512,273778768,273778513,273783213
4352,273953163,273953413,273953558,273953623,273952377,273953722,273953801,273953807,273953556,273953811,273953557,273958251
4352,274128200,274128451,274128596,274128661,274127417,274128759,274128840,274128846,274128593,274128850,274128594,274133274
4352,274306595,274306846,274306991,274307056,274305723,274307155,274307235,274307241,274306988,274307245,274306989,274311703
4352,274481849,274482099,274482244,274482309,274481049,274482408,274482487,274482493,274482239,274482497,274482240,274486936
4352,274656950,274657202,274657347,274657412,274656160,274657511,274657591,274657597,274657344,274657601,274657345,274662039
4352,274831961,274832212,274832357,274832422,274831172,274832521,274832600,274832606,274832353,274832610,274832354,274837055
4352,275007010,275007261,275007406,275007471,275006227,275007569,275007649,275007655,275007402,275007659,275007403,275012099
4352,275182024,275182274,275182419,275182484,275181248,275182582,275182663,275182669,275182416,275182673,275182417,275190416
4352,275360696,275360946,275361091,275361156,275359910,275361255,275361334,275361340,275361089,275361344,275361090,275365792
4352,275535875,275536126,275536271,275536337,275535078,275536434,275536514,275536520,275536266,275536524,275536267,275540971
4352,275710967,275711218,275711363,275711428,275710186,275711527,275711607,275711613,275711361,275711617,275711362,275716049
4352,275886032,275886281,275886426,275886492,275885241,275886589,275886668,275886674,275886424,275886678,275886425,275891110
4352,276061052,276061303,276061448,276061513,276060280,276061611,276061691,276061697,276061445,276061701,276061446,276066133
4352,276239594,276239844,276239989,276240054,276238767,276240153,276240234,276240240,276239986,276240244,276239987,276244711
4352,276414822,276415072,276415217,276415284,276414041,276415379,276415459,276415465,276415214,276415469,276415215,276419922
4352,276589916,276590167,276590312,276590376,276589132,276590475,276590555,276590561,276590308,276590565,276590309,276594994
4352,276764959,276765209,276765354,276765419,276764190,276765518,276765598,276765604,276765352,276765608,276765353,276770046
4352,276939984,276940234,276940379,276940444,276939205,276940542,276940621,276940627,276940378,276940631,276940379,276945045
4352,277114956,277115206,277115351,277115416,277114179,277115514,277115593,277115599,277115348,277115603,277115349,277120038
4352,277293337,277293587,277293732,277293797,277292494,277293896,277293976,277293982,277293729,277293986,277293730,277298429
4352,277468611,277468861,277469006,277469071,277467795,277469169,277469249,277469255,277469003,277469259,277469004,277473697
4352,277651762,277652014,277652159,277652225,277650795,277652322,277652401,277652407,277652155,277652411,277652156,277656876
4352,277826972,277827222,277827367,277827432,277826098,277827530,277827611,277827617,277827363,277827621,277827364,277832087
4352,278002105,278002355,278002500,278002565,278001312,278002663,278002743,278002749,278002497,278002753,278002498,278007197
4352,278177144,278177395,278177540,278177605,278176361,278177703,278177783,278177789,278177538,278177793,278177539,278182222
4352,278355715,278355965,278356110,278356175,278354846,278356273,278356354,278356360,278356107,278356364,278356108,278360817
4352,278530870,278531121,278531266,278531331,278530060,278531429,278531508,278531514,278531263,278531518,278531264,278535962
4352,278705991,278706241,278706386,278706451,278705181,278706549,278706628,278706634,278706382,278706638,278706383,278711077
